FunctionName,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ADD,0.3689479382874722,0.0,0.0
ADI,0.3689479382874722,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
BTIO_CLEANUP,0.0,0.0,0.0
COMPUTE_BUFFER_SIZE,0.0,0.0,0.0
COMPUTE_RHS,0.3674687718017453,0.0,0.0
COPY_FACES,0.3674687718017453,0.0,0.0
ERROR_NORM,0.0,0.0,0.0
EXACT_RHS,0.0,0.0,0.0
EXACT_SOLUTION,0.695544236673812,0.141629747043068,0.0
INITIALIZE,0.0,0.0,0.0
LHSABINIT,0.3689479382874647,0.0,0.0
LHSINIT,0.0,0.0,0.0
MAKE_SET,0.0,0.0,0.0
MPBT,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),0.36885514090632376,0.0,0.0
MPI_Isend(),0.36885514090632376,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0
MPI_Wait(),0.36894793828748507,0.0,0.0
MPI_Waitall(),0.3674687718017453,0.0,0.0
RHS_NORM,0.0,0.0,0.0
SETUP_BTIO,0.0,0.0,0.0
SETUP_MPI,0.0,0.0,0.0
SET_CLASS,0.0,0.0,0.0
SET_CONSTANTS,0.0,0.0,0.0
VERIFY,0.0,0.0,0.0
X_BACKSUBSTITUTE,0.3689479382874722,0.0,0.0
X_RECEIVE_BACKSUB_INFO,0.3689479382874652,0.0,0.0
X_RECEIVE_SOLVE_INFO,0.3689479382874652,0.0,0.0
X_SEND_BACKSUB_INFO,0.3689479382874652,0.0,0.0
X_SEND_SOLVE_INFO,0.3689479382874652,0.0,0.0
X_SOLVE,0.3689479382874722,0.0,0.0
X_SOLVE_CELL,0.3689479382874722,0.0,0.0
X_UNPACK_BACKSUB_INFO,0.3689479382874652,0.0,0.0
X_UNPACK_SOLVE_INFO,0.3689479382874652,0.0,0.0
Y_BACKSUBSTITUTE,0.3689479382874722,0.0,0.0
Y_RECEIVE_BACKSUB_INFO,0.3689479382874652,0.0,0.0
Y_RECEIVE_SOLVE_INFO,0.3689479382874652,0.0,0.0
Y_SEND_BACKSUB_INFO,0.3689479382874652,0.0,0.0
Y_SEND_SOLVE_INFO,0.3689479382874652,0.0,0.0
Y_SOLVE,0.3689479382874722,0.0,0.0
Y_SOLVE_CELL,0.3689479382874722,0.0,0.0
Y_UNPACK_BACKSUB_INFO,0.3689479382874652,0.0,0.0
Y_UNPACK_SOLVE_INFO,0.3689479382874652,0.0,0.0
Z_BACKSUBSTITUTE,0.3689479382874722,0.0,0.0
Z_RECEIVE_BACKSUB_INFO,0.3689479382874652,0.0,0.0
Z_RECEIVE_SOLVE_INFO,0.3689479382874652,0.0,0.0
Z_SEND_BACKSUB_INFO,0.3689479382874652,0.0,0.0
Z_SEND_SOLVE_INFO,0.3689479382874652,0.0,0.0
Z_SOLVE,0.3689479382874722,0.0,0.0
Z_SOLVE_CELL,0.3689479382874722,0.0,0.0
Z_UNPACK_BACKSUB_INFO,0.3689479382874652,0.0,0.0
Z_UNPACK_SOLVE_INFO,0.3689479382874652,0.0,0.0
Average,0.22537172452908422,0.002284350758759161,0.0
