,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
CG,0.0,0.0,0.0
CONJ_GRAD,42.92125454123471,0.0,0.0
ICNVRT,28.429939862985766,30.181226188319442,0.0
INITIALIZE_MPI,0.0,0.0,0.0
MAKEA,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),42.92125454123472,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0
MPI_Send(),42.92125454123472,0.0,0.0
MPI_Wait(),42.92125454123472,0.0,0.0
SETUP_PROC_INFO,0.0,0.0,0.0
SETUP_SUBMATRIX_INFO,0.0,0.0,0.0
SPARSE,0.0,0.0,0.0
SPRNVC,16.504516619906322,21.229264618719455,0.0
VECSET,16.504516619906322,21.229264618719455,0.0
