,"['A', 'B', 'C', 'D']","['A', 'B', 'C']",['A']
.TAU_application,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
BUBBLE,3.1831362457396315,1.3945258500623223,0.0
COMM3,24.42879922628915,27.587695223027374,0.0
COMM3_EX,25.08704023647613,27.883146129529052,0.0
GIVE3,24.117515241840138,26.94588330051804,0.0
GIVE3_EX,26.168147476800375,0.0,0.0
INTERP,25.08704023647613,27.883146129529052,0.0
MG3P,26.168147476800396,0.0,0.0
MG_MPI,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Irecv(),24.17441916706683,27.065328830313533,0.0
MPI_Reduce(),0.0,0.0,0.0
MPI_Send(),24.17441916706683,27.065328830313533,0.0
MPI_Wait(),24.17441916706683,27.065328830313533,0.0
NORM2U3,0.0,0.0,0.0
POWER,0.0,0.0,0.0
PSINV,25.185177769389927,28.21389560564341,0.0
READY,24.17441916706683,27.065328830313533,0.0
RESID,24.153716600304065,27.46518189336195,0.0
RPRJ3,25.08704023647613,27.883146129529052,0.0
SETUP,0.0,0.0,0.0
TAKE3,24.117515241840138,26.94588330051804,0.0
TAKE3_EX,26.168147476800375,0.0,0.0
ZERO3,23.960889999456647,27.82243856431739,0.0
ZRAN3,0.0,0.0,0.0
Average,12.487812191654891,11.196445545227808,0.0
