function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ADD,0.0,4.242046183642389e-14,1.4140153945474628e-14,0.0
ADI,0.0,4.242046183642389e-14,1.4140153945474628e-14,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
BTIO_CLEANUP,0.0,0.0,0.0,0.0
COMPUTE_BUFFER_SIZE,0.0,0.0,0.0,0.0
COMPUTE_RHS,0.0,2.814030636673664e-14,0.0,0.0
COPY_FACES,0.0,2.814030636673664e-14,0.0,0.0
ERROR_NORM,0.0,0.0,0.0,0.0
EXACT_RHS,0.0,0.0,0.0,0.0
EXACT_SOLUTION,27930.955386521866,1.6823997094987018,2.1120868101473964,27930.955386521866
INITIALIZE,0.0,0.0,0.0,0.0
LHSABINIT,62.84397100075064,1.290481710849769e-13,116.72695783420195,62.84397100075064
LHSINIT,0.0,0.0,0.0,0.0
MAKE_SET,0.0,0.0,0.0,0.0
MPBT,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,2.9605947323337504e-14,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0
RHS_NORM,0.0,0.0,0.0,0.0
SETUP_BTIO,0.0,0.0,0.0,0.0
SETUP_MPI,0.0,0.0,0.0,0.0
SET_CLASS,29493.07615677832,7.977525673492729e-05,9.700637165997202e-05,29493.07615677832
SET_CONSTANTS,0.0,0.0,0.0,0.0
VERIFY,0.0,0.0,0.0,0.0
X_BACKSUBSTITUTE,62.843971000750656,9.549453849447071e-14,116.72695783420195,62.843971000750656
X_SOLVE,0.0,4.242046183642389e-14,1.4140153945474628e-14,0.0
X_SOLVE_CELL,62.843971000750656,9.549453849447071e-14,116.72695783420195,62.843971000750656
Y_BACKSUBSTITUTE,62.843971000750656,9.549453849447071e-14,116.72695783420195,62.843971000750656
Y_SOLVE,0.0,4.242046183642389e-14,1.4140153945474628e-14,0.0
Y_SOLVE_CELL,62.843971000750656,9.549453849447071e-14,116.72695783420195,62.843971000750656
Z_BACKSUBSTITUTE,62.843971000750656,9.549453849447071e-14,116.72695783420195,62.843971000750656
Z_SOLVE,0.0,4.242046183642389e-14,1.4140153945474628e-14,0.0
Z_SOLVE_CELL,62.843971000750656,9.549453849447071e-14,116.72695783420195,62.843971000750656
