function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ADD,0.0,4.242046183642389e-14,0.0,0.0
ADI,0.0,4.242046183642389e-14,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
BTIO_CLEANUP,0.0,0.0,0.0,0.0
COMPUTE_BUFFER_SIZE,0.0,0.0,0.0,0.0
COMPUTE_RHS,0.0,2.814030636673664e-14,0.0,0.0
COPY_FACES,0.0,2.814030636673664e-14,0.0,0.0
ERROR_NORM,0.0,0.0,0.0,0.0
EXACT_RHS,0.0,0.0,0.0,0.0
EXACT_SOLUTION,0.0,2.061376340549352e-14,0.0,0.0
INITIALIZE,0.0,0.0,0.0,0.0
LHSABINIT,0.0,1.8853538593966173e-14,0.0,0.0
LHSINIT,0.0,0.0,0.0,0.0
MAKE_SET,0.0,0.0,0.0,0.0
MPBT,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Irecv(),0.0,1.8841821043565947e-14,0.0,0.0
MPI_Isend(),0.0,1.8841821043565947e-14,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0
MPI_Wait(),0.0,2.1546901250247057e-14,0.0,0.0
MPI_Waitall(),0.0,2.814030636673664e-14,0.0,0.0
RHS_NORM,0.0,0.0,0.0,0.0
SETUP_BTIO,0.0,0.0,0.0,0.0
SETUP_MPI,0.0,0.0,0.0,0.0
SET_CLASS,0.0,2.220446049250313e-14,0.0,0.0
SET_CONSTANTS,0.0,0.0,0.0,0.0
VERIFY,0.0,0.0,0.0,0.0
X_BACKSUBSTITUTE,0.0,1.4140153945474631e-14,0.0,0.0
X_RECEIVE_BACKSUB_INFO,0.0,3.2320351875370587e-14,0.0,0.0
X_RECEIVE_SOLVE_INFO,0.0,3.2320351875370587e-14,0.0,0.0
X_SEND_BACKSUB_INFO,0.0,3.2320351875370587e-14,0.0,0.0
X_SEND_SOLVE_INFO,0.0,3.2320351875370587e-14,0.0,0.0
X_SOLVE,0.0,4.242046183642389e-14,0.0,0.0
X_SOLVE_CELL,0.0,1.4140153945474631e-14,0.0,0.0
X_UNPACK_BACKSUB_INFO,0.0,3.2320351875370587e-14,0.0,0.0
X_UNPACK_SOLVE_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Y_BACKSUBSTITUTE,0.0,1.4140153945474631e-14,0.0,0.0
Y_RECEIVE_BACKSUB_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Y_RECEIVE_SOLVE_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Y_SEND_BACKSUB_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Y_SEND_SOLVE_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Y_SOLVE,0.0,4.242046183642389e-14,0.0,0.0
Y_SOLVE_CELL,0.0,1.4140153945474631e-14,0.0,0.0
Y_UNPACK_BACKSUB_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Y_UNPACK_SOLVE_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Z_BACKSUBSTITUTE,0.0,1.4140153945474631e-14,0.0,0.0
Z_RECEIVE_BACKSUB_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Z_RECEIVE_SOLVE_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Z_SEND_BACKSUB_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Z_SEND_SOLVE_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Z_SOLVE,0.0,4.242046183642389e-14,0.0,0.0
Z_SOLVE_CELL,0.0,1.4140153945474631e-14,0.0,0.0
Z_UNPACK_BACKSUB_INFO,0.0,3.2320351875370587e-14,0.0,0.0
Z_UNPACK_SOLVE_INFO,0.0,3.2320351875370587e-14,0.0,0.0
