function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
CG,0.0,0.0,0.0,0.0
CONJ_GRAD,0.0,0.0,0.0,0.0
ICNVRT,645.9004506953511,97.7469091287919,265.6440139176884,645.9004506953511
INITIALIZE_MPI,0.0,0.0,0.0,0.0
MAKEA,0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Irecv(),55.741341911847385,31.001767291659466,1108.8447408529073,55.741341911847385
MPI_Reduce(),0.0,0.0,0.0,0.0
MPI_Send(),55.741341911847385,31.001767291659466,1108.8447408529073,55.741341911847385
MPI_Wait(),55.741341911847385,31.001767291659466,1108.8447408529073,55.741341911847385
SETUP_PROC_INFO,0.0,0.0,0.0,0.0
SETUP_SUBMATRIX_INFO,0.0,0.0,0.0,0.0
SPARSE,0.0,0.0,0.0,0.0
SPRNVC,570.0,75.35827262440921,270.00826573058697,570.0
VECSET,570.0,75.35827262440921,270.00826573058697,570.0
