function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
CFFTS1,34.34343434343434,21.784255845629605,32.48484848484849,0.0
CFFTS2,34.34343434343434,21.784255845629627,32.48484848484849,0.0
CFFTZ,52.723665223665215,22.64451772283008,180.92192430348427,52.723665223665215
CHECKSUM,42.96296296296296,25.833018885535274,39.18888129414446,0.0
COMPUTE_INDEXMAP,0.0,0.0,0.0,0.0
COMPUTE_INITIAL_CONDITIONS,0.0,0.0,0.0,0.0
EVOLVE,42.96296296296296,25.833018885535274,39.18888129414446,0.0
FFT,34.34343434343434,21.784255845629627,32.48484848484849,0.0
FFTZ2,51.58569499355406,22.563218943203697,130.18919365369828,51.58569499355406
FFT_INIT,0.0,0.0,0.0,0.0
FT,0.0,0.0,0.0,0.0
ILOG2,32.277526395173446,20.725542290949907,30.809769940204728,0.0
IPOW46,0.0,0.0,0.0,0.0
MPI_Alltoall(),34.34343434343434,21.784255845629627,32.48484848484849,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,1.7763568394002508e-14,1.7763568394002508e-14,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Comm_split(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Reduce(),42.96296296296296,25.833018885535274,39.18888129414446,0.0
SETUP,0.0,0.0,0.0,0.0
SET_CLASS,0.0,6.661338147750939e-14,0.0,0.0
TRANSPOSE2_FINISH,34.34343434343434,21.784255845629627,32.48484848484849,0.0
TRANSPOSE2_GLOBAL,34.34343434343434,21.784255845629627,32.48484848484849,0.0
TRANSPOSE2_LOCAL,34.34343434343434,21.784255845629627,32.48484848484849,0.0
TRANSPOSE_XY_Z,0.0,0.0,0.0,0.0
TRANSPOSE_X_YZ,42.96296296296296,25.833018885535274,39.18888129414446,0.0
VERIFY,0.0,0.0,0.0,0.0
