function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,3.2297397080004557e-14,0.0,0.0
MPI_Alltoall(),0.0,3.2297397080004557e-14,0.0,0.0
MPI_Alltoallv(),0.0,3.2297397080004557e-14,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0
double_find_my_seed(int_int_long_double_double),0.0,0.0,0.0,0.0
double_randlc(double_*_double_*),175606.4218060818,0.00036134986628256344,0.00047439273686829026,175606.4218060818
int_main(int_char_**),0.0,0.0,0.0,0.0
void_alloc_space(void),0.0,0.0,0.0,0.0
void_create_seq(double_double),0.0,0.0,0.0,0.0
void_full_verify(void),0.0,0.0,0.0,0.0
void_rank(int),0.0,3.2297397080004557e-14,0.0,0.0
