function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
APPLU,0.0,0.0,0.0,0.0
BCAST_INPUTS,0.0,0.0,0.0,0.0
BLTS,16605.952380952385,16.43807611626372,62.25975585908643,16605.952380952385
BUTS,16605.952380952385,16.43807611626372,62.25975585908643,16605.952380952385
ERHS,0.0,0.0,0.0,0.0
ERROR,0.0,0.0,0.0,0.0
EXACT,328650.43893723894,0.00042753420515492937,0.0002778751320733305,328650.43893723894
EXCHANGE_1,0.0,5.4352273014318416e-14,1.811742433810614e-14,0.0
EXCHANGE_3,0.0,1.1189649382048821e-14,0.0,0.0
EXCHANGE_4,0.0,0.0,0.0,0.0
EXCHANGE_5,16605.95238095239,16.438076116263677,62.25975585908643,16605.95238095239
EXCHANGE_6,15852.380952380958,18.451116587726702,44.2373374877761,15852.380952380958
INIT_COMM,0.0,0.0,0.0,0.0
ISQRT2,0.0,0.0,0.0,0.0
JACLD,16605.952380952385,16.43807611626372,62.25975585908643,16605.952380952385
JACU,16605.952380952385,16.43807611626372,62.25975585908643,16605.952380952385
L2NORM,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,1.7763568394002505e-14,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,1.7763568394002505e-14,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
NEIGHBORS,0.0,0.0,0.0,0.0
PINTGR,0.0,0.0,0.0,0.0
PROC_GRID,0.0,0.0,0.0,0.0
READ_INPUT,0.0,0.0,0.0,0.0
RHS,0.0,1.1233877245218972e-14,1.1233877245218972e-14,0.0
SETBV,0.0,0.0,0.0,0.0
SETCOEFF,0.0,0.0,0.0,0.0
SETIV,0.0,0.0,0.0,0.0
SET_CLASS,328650.00000000006,1.1842378929335001e-13,4.440892098500626e-14,328650.00000000006
SSOR,0.0,0.0,0.0,0.0
SUBDOMAIN,0.0,0.0,0.0,0.0
VERIFY,328650.00000000006,1.1842378929335001e-13,4.440892098500626e-14,328650.00000000006
