function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
APPLU,0.0,0.0,0.0,0.0
BCAST_INPUTS,0.0,0.0,0.0,0.0
BLTS,8.333333333333332,15.040785687821586,12.672476397966603,8.333333333333332
BUTS,8.333333333333332,15.040785687821586,12.672476397966603,8.333333333333332
ERHS,0.0,0.0,0.0,0.0
ERROR,0.0,0.0,0.0,0.0
EXACT,21.428471412740187,0.00012446419132511056,0.0001666933531771569,21.428471412740187
EXCHANGE_1,0.0,5.4352273014318416e-14,1.8117424338106143e-14,0.0
EXCHANGE_3,0.0,1.1189649382048821e-14,0.0,0.0
EXCHANGE_4,0.0,0.0,0.0,0.0
EXCHANGE_5,8.33333333333333,15.040785687821536,12.672476397966603,8.33333333333333
EXCHANGE_6,23.809523809523817,15.937453787139821,18.720538720538723,23.809523809523817
INIT_COMM,0.0,0.0,0.0,0.0
ISQRT2,0.0,0.0,0.0,0.0
JACLD,8.333333333333332,15.040785687821586,12.672476397966603,8.333333333333332
JACU,8.333333333333332,15.040785687821586,12.672476397966603,8.333333333333332
L2NORM,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,1.7763568394002508e-14,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,1.7763568394002508e-14,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
NEIGHBORS,0.0,0.0,0.0,0.0
PINTGR,0.0,0.0,0.0,0.0
PROC_GRID,0.0,0.0,0.0,0.0
READ_INPUT,0.0,0.0,0.0,0.0
RHS,0.0,1.1233877245218975e-14,1.1233877245218975e-14,0.0
SETBV,0.0,0.0,0.0,0.0
SETCOEFF,0.0,0.0,0.0,0.0
SETIV,0.0,0.0,0.0,0.0
SET_CLASS,21.42857142857144,1.4802973661668752e-14,2.220446049250313e-14,21.42857142857144
SSOR,0.0,0.0,0.0,0.0
SUBDOMAIN,0.0,0.0,0.0,0.0
VERIFY,21.42857142857144,1.4802973661668752e-14,2.220446049250313e-14,21.42857142857144
