function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
BUBBLE,155.2602443966075,6.212324830351236,34.58406300838943,155.2602443966075
COMM3,0.0,4.1340668262405824e-14,2.0670334131202912e-14,0.0
COMM3_EX,0.0,0.0,0.0,0.0
INTERP,0.0,0.0,0.0,0.0
MG3P,0.0,0.0,0.0,0.0
MG_MPI,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,3.2297397080004557e-14,1.6148698540002278e-14,0.0
MPI_Barrier(),0.0,2.9605947323337504e-14,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Reduce(),0.0,0.0,0.0,0.0
NORM2U3,0.0,0.0,0.0,0.0
POWER,0.0,2.9605947323337504e-14,0.0,0.0
PSINV,0.0,3.0075882995136514e-14,0.0,0.0
RESID,0.0,2.976095228314556e-14,2.976095228314556e-14,0.0
RPRJ3,0.0,0.0,0.0,0.0
SETUP,0.0,0.0,0.0,0.0
ZERO3,17.06308353393647,17.06308353393651,17.06308353393647,17.06308353393647
ZRAN3,0.0,0.0,0.0,0.0
