function name,Linear model,Log10 model,Inverse model,Branch model
.TAU_application,0.0,0.0,0.0,0.0
ADD,0.0,2.8350832349530186e-14,1.4175416174765093e-14,0.0
ADI,0.0,2.8350832349530186e-14,1.4175416174765093e-14,0.0
ALLOC_SPACE,0.0,0.0,0.0,0.0
COMPUTE_BUFFER_SIZE,0.0,0.0,0.0,0.0
COMPUTE_RHS,0.0,5.656061578189851e-14,1.4140153945474628e-14,0.0
COPY_FACES,0.0,5.656061578189851e-14,1.4140153945474628e-14,0.0
ERROR_NORM,0.0,0.0,0.0,0.0
EXACT_RHS,0.0,0.0,0.0,0.0
EXACT_SOLUTION,6126.40916217686,1.2761191855355158,1.8556480336671282,6126.40916217686
INITIALIZE,0.0,0.0,0.0,0.0
LHSINIT,0.0,0.0,0.0,0.0
LHSX,41.9959179324513,3.599696592258529e-14,268.4034551553172,41.9959179324513
LHSY,41.9959179324513,3.599696592258529e-14,268.4034551553172,41.9959179324513
LHSZ,41.9959179324513,3.599696592258529e-14,268.4034551553172,41.9959179324513
MAKE_SET,0.0,0.0,0.0,0.0
MPI_Allreduce(),0.0,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0,0.0
MPI_Bcast(),0.0,0.0,0.0,0.0
MPI_Comm_dup(),0.0,0.0,0.0,0.0
MPI_Comm_rank(),0.0,0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0,0.0
MPI_Irecv(),41.98741658496933,0.02635441142885336,270.72616152114057,41.98741658496933
MPI_Isend(),41.98741658496933,0.02635441142885336,270.72616152114057,41.98741658496933
MPI_Reduce(),0.0,0.0,0.0,0.0
MPI_Waitall(),45.05145502967692,15.118961021036585,125.82279869742645,45.05145502967692
MPSP,0.0,0.0,0.0,0.0
NINVR,41.9959179324513,3.599696592258529e-14,268.4034551553172,41.9959179324513
PINVR,41.9959179324513,3.599696592258529e-14,268.4034551553172,41.9959179324513
RHS_NORM,0.0,0.0,0.0,0.0
SETUP_MPI,0.0,0.0,0.0,0.0
SET_CLASS,6454.520617023955,0.00017536040995352257,0.00016756720183504318,6454.520617023955
SET_CONSTANTS,0.0,0.0,0.0,0.0
TXINVR,0.0,2.8350832349530186e-14,1.4175416174765093e-14,0.0
TZETAR,41.9959179324513,3.599696592258529e-14,268.4034551553172,41.9959179324513
VERIFY,0.0,0.0,0.0,0.0
X_SOLVE,0.0,2.8350832349530186e-14,1.4175416174765093e-14,0.0
Y_SOLVE,0.0,2.8350832349530186e-14,1.4175416174765093e-14,0.0
Z_SOLVE,0.0,2.8350832349530186e-14,1.4175416174765093e-14,0.0
