,x mape,logx mape,1/x mape
.TAU_application,0.0,0.0,0.0
ALLOC_SPACE,0.0,0.0,0.0
CFFTS1,37.91755508173418,22.62041886664185,50.95271760765432
CFFTS2,0.0,3.2297397080004557e-14,1.6148698540002278e-14
CFFTZ,8455.213186416358,6.250067156408601,6.250043770144943
CHECKSUM,0.0,1.7763568394002505e-14,0.0
COMPUTE_INDEXMAP,0.0,0.0,0.0
COMPUTE_INITIAL_CONDITIONS,0.0,0.0,0.0
EVOLVE,0.0,1.7763568394002505e-14,0.0
FFT,0.0,3.2297397080004557e-14,1.6148698540002278e-14
FFTZ2,8455.235529008733,6.250076697671355,6.250110639451948
FFT_INIT,0.0,0.0,0.0
FT,0.0,0.0,0.0
ILOG2,0.0,2.0898315757650007e-14,0.0
IPOW46,0.0,0.0,0.0
MPI_Barrier(),0.0,0.0,0.0
MPI_Bcast(),0.0,1.7763568394002505e-14,0.0
MPI_Comm_rank(),0.0,0.0,0.0
MPI_Comm_size(),0.0,0.0,0.0
MPI_Comm_split(),0.0,0.0,0.0
MPI_Finalize(),0.0,0.0,0.0
MPI_Init(),0.0,0.0,0.0
MPI_Reduce(),0.0,1.7763568394002505e-14,0.0
SETUP,0.0,0.0,0.0
SET_CLASS,8455.23387526652,6.250000000000004,6.250000000000037
VERIFY,0.0,0.0,0.0
