,x r2,logx r2,1/x r2,x mae,logx mae,1/x mae
.TAU_application,1.0,1.0,1.0,0.0,0.0,0.0
ALLOC_SPACE,1.0,1.0,1.0,0.0,0.0,0.0
APPLU,1.0,1.0,1.0,0.0,0.0,0.0
BCAST_INPUTS,1.0,1.0,1.0,0.0,0.0,0.0
BLTS,-0.029117046286661008,0.9196957556850878,0.6820682613202746,1519314.6953405014,459203.2292396997,641730.8565759197
BUTS,-0.029117046286661008,0.9196957556850878,0.6820682613202746,1519314.6953405014,459203.2292396997,641730.8565759197
ERHS,1.0,1.0,1.0,0.0,0.0,0.0
ERROR,1.0,1.0,1.0,0.0,0.0,0.0
EXACT,-0.44063096284893266,0.9999999999959915,0.9999999999972695,8338849.53718638,11.854171616180489,9.871304220713986
EXCHANGE_1,1.0,0.0,1.0,0.0,8.731149137020111e-11,0.0
EXCHANGE_3,1.0,0.0,1.0,0.0,5.684341886080802e-14,0.0
EXCHANGE_4,1.0,1.0,1.0,0.0,0.0,0.0
EXCHANGE_5,-0.02911704628666123,0.9196957556850877,0.6820682613202744,0.472894265232975,0.14292929196952817,0.19974192498005475
EXCHANGE_6,-0.3912469107700298,0.8709391822311993,0.8978404483641464,0.24635976702508952,0.09813007127023315,0.08195627284717626
INIT_COMM,1.0,1.0,1.0,0.0,0.0,0.0
ISQRT2,1.0,1.0,1.0,0.0,0.0,0.0
JACLD,-0.029117046286661008,0.9196957556850878,0.6820682613202746,1519314.6953405014,459203.2292396997,641730.8565759197
JACU,-0.029117046286661008,0.9196957556850878,0.6820682613202746,1519314.6953405014,459203.2292396997,641730.8565759197
L2NORM,1.0,1.0,1.0,0.0,0.0,0.0
MPI_Allreduce(),1.0,1.0,1.0,0.0,0.0,0.0
MPI_Barrier(),1.0,1.0,1.0,0.0,0.0,0.0
MPI_Bcast(),1.0,1.0,1.0,0.0,0.0,0.0
MPI_Comm_rank(),1.0,1.0,1.0,0.0,0.0,0.0
MPI_Comm_size(),1.0,1.0,1.0,0.0,0.0,0.0
MPI_Finalize(),1.0,1.0,1.0,0.0,0.0,0.0
MPI_Init(),1.0,1.0,1.0,0.0,0.0,0.0
MPI_Irecv(),-0.1571280241616233,0.35280902871861686,-11.575789948973107,170.43187231182796,130.10488229448626,471.08175592698484
MPI_Recv(),-0.15619598670170465,0.35118086922407166,-11.442497375914078,26901.53225806451,20563.55641235067,74170.87240043325
MPI_Send(),-0.15621331434978014,0.3511898965781819,-11.443286206561497,27071.970430107525,20693.577110628223,74641.75342609719
MPI_Wait(),-0.1571280241616233,0.35280902871861686,-11.575789948973107,170.43187231182796,130.10488229448626,471.08175592698484
NEIGHBORS,1.0,1.0,1.0,0.0,0.0,0.0
PINTGR,1.0,1.0,1.0,0.0,0.0,0.0
PROC_GRID,1.0,1.0,1.0,0.0,0.0,0.0
READ_INPUT,1.0,1.0,1.0,0.0,0.0,0.0
RHS,1.0,0.0,0.0,0.0,2.842170943040401e-14,2.842170943040401e-14
SETBV,1.0,1.0,1.0,0.0,0.0,0.0
SETCOEFF,1.0,1.0,1.0,0.0,0.0,0.0
SETIV,1.0,1.0,1.0,0.0,0.0,0.0
SET_CLASS,-0.4406310390961783,1.0,1.0,0.15568296370967735,5.0596101382656876e-17,0.0
SSOR,1.0,1.0,1.0,0.0,0.0,0.0
SUBDOMAIN,1.0,1.0,1.0,0.0,0.0,0.0
VERIFY,-0.4406310390961783,1.0,1.0,0.15568296370967735,5.0596101382656876e-17,0.0
