Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.792     3:43.496         128         128    1746065 .TAU application
100.0           16     3:43.495         128        9216    1746059 FT 
 44.6           11     1:39.580        2816       11264      35362 FFT 
 29.0            8     1:04.774         128        1409     506048 SETUP 
 28.8     1:04.331     1:04.331         128           0     502587 MPI_Init() 
 19.9       44,496       44,496         128           0     347626 MPI_Finalize() 
 18.5            8       41,345        2560        7680      16151 TRANSPOSE_X_YZ 
 15.6        1,336       34,836      450560 3.69459E+06         77 CFFTZ 
 15.0       33,500       33,500 3.69459E+06           0          9 FFTZ2 
 14.8            8       33,106        2816        2816      11756 TRANSPOSE2_GLOBAL 
 14.8       33,097       33,097        2816           0      11754 MPI_Alltoall() 
 13.9        6,854       31,158        5632      275968       5532 CFFTS1 
  7.1        5,394       15,930        2816      183040       5657 CFFTS2 
  5.0            2       11,134         256         768      43493 TRANSPOSE_XY_Z 
  4.8       10,635       10,635        2816           0       3777 TRANSPOSE2_LOCAL 
  4.5       10,091       10,091        2560           0       3942 EVOLVE 
  3.9        8,727        8,727        2816           0       3099 TRANSPOSE2_FINISH 
  1.3        2,971        2,971         256           0      11609 COMPUTE_INDEXMAP 
  0.4           16          784        2560        2560        307 CHECKSUM 
  0.3          767          767        2560           0        300 MPI_Reduce() 
  0.2          403          403         128           0       3150 MPI_Barrier() 
  0.2          358          358         256         512       1401 COMPUTE_INITIAL_CONDITIONS 
  0.1          162          162         128           0       1273 ALLOC_SPACE 
  0.1          154          154         256           0        603 MPI_Comm_split() 
  0.1          117          117         640           0        183 MPI_Bcast() 
  0.0           18           18         256         256         73 FFT_INIT 
  0.0            3            3        8704           0          0 ILOG2 
  0.0        0.228        0.228         512           0          0 IPOW46 
  0.0         0.06         0.06         128           0          0 MPI_Comm_size() 
  0.0        0.043        0.043         128           0          0 VERIFY 
  0.0         0.02         0.02         128           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00619        1,746           1           1    1746065 .TAU application
100.0        0.128        1,746           1          72    1746059 FT 
 44.6       0.0884          777          22          88      35362 FFT 
 29.0       0.0678          506           1     11.0078     506048 SETUP 
 28.8          502          502           1           0     502587 MPI_Init() 
 19.9          347          347           1           0     347626 MPI_Finalize() 
 18.5       0.0642          323          20          60      16151 TRANSPOSE_X_YZ 
 15.6           10          272        3520       28864         77 CFFTZ 
 15.0          261          261       28864           0          9 FFTZ2 
 14.8       0.0643          258          22          22      11756 TRANSPOSE2_GLOBAL 
 14.8          258          258          22           0      11754 MPI_Alltoall() 
 13.9           53          243          44        2156       5532 CFFTS1 
  7.1           42          124          22        1430       5657 CFFTS2 
  5.0       0.0189           86           2           6      43493 TRANSPOSE_XY_Z 
  4.8           83           83          22           0       3777 TRANSPOSE2_LOCAL 
  4.5           78           78          20           0       3942 EVOLVE 
  3.9           68           68          22           0       3099 TRANSPOSE2_FINISH 
  1.3           23           23           2           0      11609 COMPUTE_INDEXMAP 
  0.4        0.131            6          20          20        307 CHECKSUM 
  0.3            5            5          20           0        300 MPI_Reduce() 
  0.2            3            3           1           0       3150 MPI_Barrier() 
  0.2            2            2           2           4       1401 COMPUTE_INITIAL_CONDITIONS 
  0.1            1            1           1           0       1273 ALLOC_SPACE 
  0.1            1            1           2           0        603 MPI_Comm_split() 
  0.1        0.915        0.915           5           0        183 MPI_Bcast() 
  0.0        0.145        0.145           2           2         73 FFT_INIT 
  0.0        0.027        0.027          68           0          0 ILOG2 
  0.0      0.00178      0.00178           4           0          0 IPOW46 
  0.0     0.000469     0.000469           1           0          0 MPI_Comm_size() 
  0.0     0.000336     0.000336           1           0          0 VERIFY 
  0.0     0.000156     0.000156           1           0          0 MPI_Comm_rank() 
  0.0     7.81E-06     7.81E-06   0.0078125           0          1 SET_CLASS 
