Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.657     9:36.931         128         128    4507280 .TAU application
100.0           18     9:36.931         128        9216    4507275 FT 
 69.5           12     6:40.698        2816       11264     142294 FFT 
 28.6       10,974     2:44.802 1.08134E+06  9.7321E+06        152 CFFTZ 
 26.7     2:33.828     2:33.828  9.7321E+06           0         16 FFTZ2 
 24.4       31,100     2:20.876        5632      726528      25014 CFFTS1 
 23.8            8     2:17.124        2560        7680      53564 TRANSPOSE_X_YZ 
 15.8            8     1:31.258        2816        2816      32407 TRANSPOSE2_GLOBAL 
 15.8     1:31.249     1:31.249        2816           0      32404 MPI_Alltoall() 
 15.3       33,001     1:28.031        2816      363264      31261 CFFTS2 
 11.2            8     1:04.517         128        1409     504039 SETUP 
 11.1     1:03.958     1:03.958         128           0     499674 MPI_Init() 
  9.7       56,219       56,219         128           0     439213 MPI_Finalize() 
  7.5       42,997       42,997        2816           0      15269 TRANSPOSE2_LOCAL 
  6.5       37,511       37,511        2816           0      13321 TRANSPOSE2_FINISH 
  6.0            2       34,653         256         768     135365 TRANSPOSE_XY_Z 
  5.5       31,467       31,467        2560           0      12292 EVOLVE 
  2.0       11,765       11,765         256           0      45960 COMPUTE_INDEXMAP 
  1.5           17        8,449        2560        2560       3301 CHECKSUM 
  1.5        8,432        8,432        2560           0       3294 MPI_Reduce() 
  0.4        2,130        2,130         128           0      16646 MPI_Barrier() 
  0.3        1,646        1,646         256         512       6431 COMPUTE_INITIAL_CONDITIONS 
  0.0          252          252         128           0       1976 ALLOC_SPACE 
  0.0          177          177         256           0        692 MPI_Comm_split() 
  0.0          119          119         640           0        187 MPI_Bcast() 
  0.0           17           18         256         256         70 FFT_INIT 
  0.0            3            3        8704           0          0 ILOG2 
  0.0        0.229        0.229         512           0          0 IPOW46 
  0.0        0.058        0.058         128           0          0 MPI_Comm_size() 
  0.0        0.045        0.045         128           0          0 VERIFY 
  0.0         0.03         0.03         128           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00513        4,507           1           1    4507280 .TAU application
100.0        0.145        4,507           1          72    4507275 FT 
 69.5        0.101        3,130          22          88     142294 FFT 
 28.6           85        1,287        8448       76032        152 CFFTZ 
 26.7        1,201        1,201       76032           0         16 FFTZ2 
 24.4          242        1,100          44        5676      25014 CFFTS1 
 23.8       0.0644        1,071          20          60      53564 TRANSPOSE_X_YZ 
 15.8        0.069          712          22          22      32407 TRANSPOSE2_GLOBAL 
 15.8          712          712          22           0      32404 MPI_Alltoall() 
 15.3          257          687          22        2838      31261 CFFTS2 
 11.2       0.0685          504           1     11.0078     504039 SETUP 
 11.1          499          499           1           0     499674 MPI_Init() 
  9.7          439          439           1           0     439213 MPI_Finalize() 
  7.5          335          335          22           0      15269 TRANSPOSE2_LOCAL 
  6.5          293          293          22           0      13321 TRANSPOSE2_FINISH 
  6.0       0.0221          270           2           6     135365 TRANSPOSE_XY_Z 
  5.5          245          245          20           0      12292 EVOLVE 
  2.0           91           91           2           0      45960 COMPUTE_INDEXMAP 
  1.5        0.135           66          20          20       3301 CHECKSUM 
  1.5           65           65          20           0       3294 MPI_Reduce() 
  0.4           16           16           1           0      16646 MPI_Barrier() 
  0.3           12           12           2           4       6431 COMPUTE_INITIAL_CONDITIONS 
  0.0            1            1           1           0       1976 ALLOC_SPACE 
  0.0            1            1           2           0        692 MPI_Comm_split() 
  0.0        0.934        0.934           5           0        187 MPI_Bcast() 
  0.0         0.14        0.141           2           2         70 FFT_INIT 
  0.0       0.0264       0.0264          68           0          0 ILOG2 
  0.0      0.00179      0.00179           4           0          0 IPOW46 
  0.0     0.000453     0.000453           1           0          0 MPI_Comm_size() 
  0.0     0.000352     0.000352           1           0          0 VERIFY 
  0.0     0.000234     0.000234           1           0          0 MPI_Comm_rank() 
  0.0            0            0   0.0078125           0          0 SET_CLASS 
