Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            1     4:39.258         256         256    1090853 .TAU application
100.0           27     4:39.256         256        9472    1090845 MG_MPI 
 50.1     2:19.818     2:19.818         256           0     546164 MPI_Init() 
 47.3     2:11.995     2:11.995         256           0     515606 MPI_Finalize() 
  1.3           19        3,648        1280       46080       2850 MG3P 
  1.1           77        3,049       30464      457232        100 COMM3 
  0.8          794        2,193       10752       10752        204 RESID 
  0.5        1,456        1,456      155744           0          9 MPI_Wait() 
  0.5          159        1,327      150624      150624          9 TAKE3 
  0.4        1,210        1,210        1792           0        675 MPI_Bcast() 
  0.4          330        1,148       10240       10240        112 PSINV 
  0.4          155        1,031         512      124128       2015 ZRAN3 
  0.4          160          977      150624      150624          6 GIVE3 
  0.3          830          830      155744           0          5 MPI_Send() 
  0.3          124          773        8960        8960         86 RPRJ3 
  0.2          600          684      155744      155744          4 READY 
  0.2          538          538       22528           0         24 MPI_Allreduce() 
  0.2          138          469        8960        8960         52 INTERP 
  0.1            5          331        8960       15360         37 COMM3_EX 
  0.1          327          327        1536           0        213 MPI_Barrier() 
  0.1            2          290        5120        5120         57 TAKE3_EX 
  0.1          268          268       15344           0         17 ZERO3 
  0.1           95          222        1024        2048        217 NORM2U3 
  0.0           84           84      155744           0          1 MPI_Irecv() 
  0.0           18           18      100064           0          0 BUBBLE 
  0.0            2           15        5120        5120          3 GIVE3_EX 
  0.0            6            6         256           0         27 ALLOC_SPACE 
  0.0            4            4         256           0         17 MPI_Reduce() 
  0.0        0.982        0.982         512           0          2 SETUP 
  0.0        0.572        0.572        1536           0          0 POWER 
  0.0        0.111        0.111         256           0          0 MPI_Comm_size() 
  0.0        0.059        0.059         256           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0072        1,090           1           1    1090853 .TAU application
100.0        0.109        1,090           1          37    1090845 MG_MPI 
 50.1          546          546           1           0     546164 MPI_Init() 
 47.3          515          515           1           0     515606 MPI_Finalize() 
  1.3       0.0771           14           5         180       2850 MG3P 
  1.1        0.304           11         119     1786.06        100 COMM3 
  0.8            3            8          42          42        204 RESID 
  0.5            5            5     608.375           0          9 MPI_Wait() 
  0.5        0.621            5     588.375     588.375          9 TAKE3 
  0.4            4            4           7           0        675 MPI_Bcast() 
  0.4            1            4          40          40        112 PSINV 
  0.4        0.607            4           2     484.875       2015 ZRAN3 
  0.4        0.626            3     588.375     588.375          6 GIVE3 
  0.3            3            3     608.375           0          5 MPI_Send() 
  0.3        0.487            3          35          35         86 RPRJ3 
  0.2            2            2     608.375     608.375          4 READY 
  0.2            2            2          88           0         24 MPI_Allreduce() 
  0.2        0.541            1          35          35         52 INTERP 
  0.1       0.0203            1          35          60         37 COMM3_EX 
  0.1            1            1           6           0        213 MPI_Barrier() 
  0.1      0.00938            1          20          20         57 TAKE3_EX 
  0.1            1            1     59.9375           0         17 ZERO3 
  0.1        0.375         0.87           4           8        217 NORM2U3 
  0.0        0.329        0.329     608.375           0          1 MPI_Irecv() 
  0.0       0.0705       0.0705     390.875           0          0 BUBBLE 
  0.0      0.00943       0.0599          20          20          3 GIVE3_EX 
  0.0       0.0273       0.0273           1           0         27 ALLOC_SPACE 
  0.0       0.0172       0.0172           1           0         17 MPI_Reduce() 
  0.0      0.00384      0.00384           2           0          2 SETUP 
  0.0      0.00223      0.00223           6           0          0 POWER 
  0.0     0.000434     0.000434           1           0          0 MPI_Comm_size() 
  0.0      0.00023      0.00023           1           0          0 MPI_Comm_rank() 
