Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.532     3:26.901         100         100    2069016 .TAU application
100.0           18     3:26.901         100       22301    2069011 MPBT 
 40.2           29     1:23.210       20100      100500       4140 ADI 
 33.5            2     1:09.379         100         500     693794 SETUP_MPI 
 33.5     1:09.252     1:09.252         100           0     692521 MPI_Init() 
 24.9       51,531       51,531         100           0     515314 MPI_Finalize() 
 11.9          374       24,561       20100   2.211E+06       1222 Y_SOLVE 
 11.6          332       24,054       20100   2.211E+06       1197 X_SOLVE 
 11.4          376       23,519       20100   2.211E+06       1170 Z_SOLVE 
  8.8       18,272       18,272  2.1708E+06           0          8 MPI_Wait() 
  7.1       14,730       14,789      201000      201000         74 X_SOLVE_CELL 
  7.1       14,572       14,627      201000      201000         73 Y_SOLVE_CELL 
  7.0       14,368       14,424      201000      201000         72 Z_SOLVE_CELL 
  5.4        1,691       11,109       20200      282800        550 COPY_FACES 
  2.7        5,498        5,498       20200           0        272 COMPUTE_RHS 
  1.5        3,189        3,189       20200           0        158 MPI_Waitall() 
  1.2        2,566        2,566  1.2066E+06           0          2 MPI_Isend() 
  0.5          527        1,130         200 3.19488E+06       5651 INITIALIZE 
  0.5        1,057        1,057      180900           0          6 X_UNPACK_SOLVE_INFO 
  0.4          894          894      201000           0          4 X_BACKSUBSTITUTE 
  0.4          323          880      180900      180900          5 X_SEND_SOLVE_INFO 
  0.4          856          856 4.61022E+06           0          0 EXACT_SOLUTION 
  0.4          830          830      201000           0          4 Y_BACKSUBSTITUTE 
  0.4        0.658          782         100         300       7821 VERIFY 
  0.4          769          769      201000           0          4 Z_BACKSUBSTITUTE 
  0.4          734          734      180900           0          4 Y_UNPACK_SOLVE_INFO 
  0.3          223          712      180900      180900          4 Z_SEND_SOLVE_INFO 
  0.3          240          668      180900      180900          4 Y_SEND_SOLVE_INFO 
  0.3          634          634      180900           0          4 Z_UNPACK_SOLVE_INFO 
  0.3          593          593  1.2066E+06           0          0 MPI_Irecv() 
  0.2          234          451         100  1.1532E+06       4512 EXACT_RHS 
  0.2           30          405         100      262244       4058 ERROR_NORM 
  0.2          367          367         200           0       1835 MPI_Allreduce() 
  0.1           92          306      180900      180900          2 X_SEND_BACKSUB_INFO 
  0.1          282          282       20100           0         14 ADD 
  0.1          272          272         200           0       1361 MPI_Barrier() 
  0.1           83          266      180900      180900          1 Z_SEND_BACKSUB_INFO 
  0.1           83          233      180900      180900          1 Y_SEND_BACKSUB_INFO 
  0.1          170          170      603000           0          0 LHSABINIT 
  0.1           60          143      180900      180900          1 Y_RECEIVE_SOLVE_INFO 
  0.1           59          138      180900      180900          1 Z_RECEIVE_SOLVE_INFO 
  0.1           60          136      180900      180900          1 X_RECEIVE_SOLVE_INFO 
  0.1          124          124         200           0        622 MPI_Comm_dup() 
  0.1           55          115      180900      180900          1 Z_RECEIVE_BACKSUB_INFO 
  0.1           55          113      180900      180900          1 Y_RECEIVE_BACKSUB_INFO 
  0.1           54          108      180900      180900          1 X_RECEIVE_BACKSUB_INFO 
  0.0           82           82      180900           0          0 X_UNPACK_BACKSUB_INFO 
  0.0           65           65         600           0        110 MPI_Bcast() 
