Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.024     1:33.554           4           4   23388616 .TAU application
100.0            1     1:33.554           4         893   23388610 MPBT 
 72.4            2     1:07.710         804        4020      84217 ADI 
 25.4            7       23,782         804       11256      29581 Y_SOLVE 
 24.8       23,242       23,242           4           0    5810725 MPI_Finalize() 
 23.3            7       21,797         804       11256      27111 Z_SOLVE 
 23.2       21,690       21,693        1608        1608      13491 Y_SOLVE_CELL 
 21.3       19,900       19,902        1608        1608      12377 Z_SOLVE_CELL 
 17.8            5       16,634         804       11256      20690 X_SOLVE 
 15.2       14,245       14,248        1608        1608       8861 X_SOLVE_CELL 
  5.5          195        5,117         808       11312       6333 COPY_FACES 
  4.8        4,471        4,471         808           0       5534 COMPUTE_RHS 
  1.9        1,817        1,817        1608           0       1130 X_BACKSUBSTITUTE 
  1.5        1,441        1,441        1608           0        896 Y_BACKSUBSTITUTE 
  1.5        0.127        1,396           4          20     349138 SETUP_MPI 
  1.5        1,395        1,395           4           0     348811 MPI_Init() 
  1.4        1,287        1,287        1608           0        801 Z_BACKSUBSTITUTE 
  1.3        1,222        1,222        9648           0        127 MPI_Wait() 
  0.9          381          858           8 3.19488E+06     107267 INITIALIZE 
  0.7          624          624  4.2412E+06           0          0 EXACT_SOLUTION 
  0.5          435          435         808           0        539 MPI_Waitall() 
  0.4          400          400         804           0        498 ADD 
  0.3          262          262         804           0        327 X_UNPACK_SOLVE_INFO 
  0.2          110          222           4      784176      55570 EXACT_RHS 
  0.1        0.231           93           4          12      23464 VERIFY 
  0.1           29           68           4      262148      17116 ERROR_NORM 
  0.1           59           64         804         804         80 X_SEND_SOLVE_INFO 
  0.1           56           56         804           0         70 Y_UNPACK_SOLVE_INFO 
  0.0           46           46         804           0         57 Z_UNPACK_SOLVE_INFO 
  0.0           41           45         804         804         56 Y_SEND_SOLVE_INFO 
