Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.897     2:19.617         128         128    1090761 .TAU application
100.0           13     2:19.616         128        4736    1090754 MG_MPI 
 49.1     1:08.595     1:08.595         128           0     535901 MPI_Init() 
 46.4     1:04.847     1:04.847         128           0     506620 MPI_Finalize() 
  2.5           11        3,465         640       23040       5415 MG3P 
  2.1           42        2,874       15232      237456        189 COMM3 
  2.0        1,269        2,771        5376        5376        515 RESID 
  1.0          160        1,344       78432       78432         17 GIVE3 
  0.9        1,188        1,188       80672           0         15 MPI_Send() 
  0.8          357        1,132        5120        5120        221 PSINV 
  0.8          145        1,102       78432       78432         14 TAKE3 
  0.8        1,078        1,078       80672           0         13 MPI_Wait() 
  0.5          142          718         256       65274       2805 ZRAN3 
  0.4          136          607        4480        4480        136 RPRJ3 
  0.3          335          392       80672       80672          5 READY 
  0.3          224          363        4480        4480         81 INTERP 
  0.2          304          304        7152           0         43 ZERO3 
  0.2          276          276       11264           0         25 MPI_Allreduce() 
  0.1          104          198         512        1024        387 NORM2U3 
  0.1          195          195         768           0        254 MPI_Barrier() 
  0.1            2          139        4480        6720         31 COMM3_EX 
  0.1            1          122        2240        2240         55 TAKE3_EX 
  0.1          109          109         896           0        122 MPI_Bcast() 
  0.0           57           57       80672           0          1 MPI_Irecv() 
  0.0            9            9       53242           0          0 BUBBLE 
  0.0            1            5        2240        2240          2 GIVE3_EX 
  0.0            3            3         128           0         29 ALLOC_SPACE 
  0.0            1            1         128           0         14 MPI_Reduce() 
  0.0        0.529        0.529         256           0          2 SETUP 
  0.0        0.336        0.336         768           0          0 POWER 
  0.0        0.055        0.055         128           0          0 MPI_Comm_size() 
  0.0        0.033        0.033         128           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00701        1,090           1           1    1090761 .TAU application
100.0        0.108        1,090           1          37    1090754 MG_MPI 
 49.1          535          535           1           0     535901 MPI_Init() 
 46.4          506          506           1           0     506620 MPI_Finalize() 
  2.5       0.0876           27           5         180       5415 MG3P 
  2.1        0.334           22         119     1855.12        189 COMM3 
  2.0            9           21          42          42        515 RESID 
  1.0            1           10      612.75      612.75         17 GIVE3 
  0.9            9            9      630.25           0         15 MPI_Send() 
  0.8            2            8          40          40        221 PSINV 
  0.8            1            8      612.75      612.75         14 TAKE3 
  0.8            8            8      630.25           0         13 MPI_Wait() 
  0.5            1            5           2     509.953       2805 ZRAN3 
  0.4            1            4          35          35        136 RPRJ3 
  0.3            2            3      630.25      630.25          5 READY 
  0.3            1            2          35          35         81 INTERP 
  0.2            2            2      55.875           0         43 ZERO3 
  0.2            2            2          88           0         25 MPI_Allreduce() 
  0.1        0.814            1           4           8        387 NORM2U3 
  0.1            1            1           6           0        254 MPI_Barrier() 
  0.1       0.0212            1          35        52.5         31 COMM3_EX 
  0.1      0.00828        0.957        17.5        17.5         55 TAKE3_EX 
  0.1        0.856        0.856           7           0        122 MPI_Bcast() 
  0.0        0.446        0.446      630.25           0          1 MPI_Irecv() 
  0.0       0.0755       0.0755     415.953           0          0 BUBBLE 
  0.0      0.00826       0.0416        17.5        17.5          2 GIVE3_EX 
  0.0       0.0286       0.0286           1           0         29 ALLOC_SPACE 
  0.0        0.014        0.014           1           0         14 MPI_Reduce() 
  0.0      0.00413      0.00413           2           0          2 SETUP 
  0.0      0.00263      0.00263           6           0          0 POWER 
  0.0      0.00043      0.00043           1           0          0 MPI_Comm_size() 
  0.0     0.000258     0.000258           1           0          0 MPI_Comm_rank() 
