Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.011        8,615           1           1    8615483 .TAU application
100.0            1        8,615           1          24    8615472 CG 
 82.6        7,112        7,112           1           0    7112326 MPI_Finalize() 
 11.7        1,006        1,006          16           0      62932 CONJ_GRAD 
  4.2        0.458          365           1           4     365149 INITIALIZE_MPI 
  4.2          364          364           1           0     364685 MPI_Init() 
  1.5           14          127           1       28001     127375 MAKEA 
  0.8           65           65           1           0      65526 SPARSE 
  0.5           22           45       14000      180347          3 SPRNVC 
  0.3           22           22      180347           0          0 ICNVRT 
  0.0            2            2       14000           0          0 VECSET 
  0.0            1            1           1           0       1786 ALLOC_SPACE 
  0.0        0.045        0.045           1           0         45 MPI_Reduce() 
  0.0        0.005        0.005           1           0          5 MPI_Barrier() 
  0.0        0.005        0.005           1           0          5 MPI_Bcast() 
  0.0        0.001        0.001           1           0          1 MPI_Comm_size() 
  0.0        0.001        0.001           1           0          1 SETUP_SUBMATRIX_INFO 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 SETUP_PROC_INFO 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.011        8,615           1           1    8615483 .TAU application
100.0            1        8,615           1          24    8615472 CG 
 82.6        7,112        7,112           1           0    7112326 MPI_Finalize() 
 11.7        1,006        1,006          16           0      62932 CONJ_GRAD 
  4.2        0.458          365           1           4     365149 INITIALIZE_MPI 
  4.2          364          364           1           0     364685 MPI_Init() 
  1.5           14          127           1       28001     127375 MAKEA 
  0.8           65           65           1           0      65526 SPARSE 
  0.5           22           45       14000      180347          3 SPRNVC 
  0.3           22           22      180347           0          0 ICNVRT 
  0.0            2            2       14000           0          0 VECSET 
  0.0            1            1           1           0       1786 ALLOC_SPACE 
  0.0        0.045        0.045           1           0         45 MPI_Reduce() 
  0.0        0.005        0.005           1           0          5 MPI_Barrier() 
  0.0        0.005        0.005           1           0          5 MPI_Bcast() 
  0.0        0.001        0.001           1           0          1 MPI_Comm_size() 
  0.0        0.001        0.001           1           0          1 SETUP_SUBMATRIX_INFO 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 SETUP_PROC_INFO 
