Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.023       28,744           4           4    7186137 .TAU application
100.0        0.572       28,744           4         120    7186131 FT 
 75.3       21,657       21,657           4           0    5414456 MPI_Finalize() 
 17.4        0.135        4,990          32         128     155966 FFT 
  9.5          118        2,719       65536      491520         41 CFFTZ 
  9.0        2,600        2,600      491520           0          5 FFTZ2 
  7.9          498        2,279          64       49216      35613 CFFTS1 
  4.7        0.712        1,350           4          45     337544 SETUP 
  4.7        1,341        1,341           4           0     335373 MPI_Init() 
  4.6          390        1,329          32       16416      41538 CFFTS2 
  3.6        0.051        1,035          24          72      43144 TRANSPOSE_X_YZ 
  2.3          665          665          32           0      20789 TRANSPOSE2_LOCAL 
  1.4        0.072          406          32          32      12716 TRANSPOSE2_GLOBAL 
  1.4          406          406          32           0      12714 MPI_Alltoall() 
  1.2          356          356           8           0      44538 COMPUTE_INDEXMAP 
  1.2        0.069          346           8          24      43354 TRANSPOSE_XY_Z 
  1.1          311          311          24           0      12993 EVOLVE 
  1.1          310          310          32           0       9688 TRANSPOSE2_FINISH 
  0.3           75           75           8          16       9403 COMPUTE_INITIAL_CONDITIONS 
  0.0            5            5           4           0       1356 ALLOC_SPACE 
  0.0            1            1          20           0         88 MPI_Bcast() 
  0.0         0.43            1          24          24         47 CHECKSUM 
  0.0        0.784        0.784           8           0         98 MPI_Comm_split() 
  0.0        0.709        0.709          24           0         30 MPI_Reduce() 
  0.0         0.28         0.28           4           0         70 MPI_Barrier() 
  0.0        0.245        0.246           8           8         31 FFT_INIT 
  0.0        0.027        0.027           4           0          7 VERIFY 
  0.0        0.025        0.025         104           0          0 ILOG2 
  0.0        0.005        0.005          16           0          0 IPOW46 
  0.0        0.003        0.003           4           0          1 MPI_Comm_size() 
  0.0            0            0           4           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00575        7,186           1           1    7186137 .TAU application
100.0        0.143        7,186           1          30    7186131 FT 
 75.3        5,414        5,414           1           0    5414456 MPI_Finalize() 
 17.4       0.0338        1,247           8          32     155966 FFT 
  9.5           29          679       16384      122880         41 CFFTZ 
  9.0          650          650      122880           0          5 FFTZ2 
  7.9          124          569          16       12304      35613 CFFTS1 
  4.7        0.178          337           1       11.25     337544 SETUP 
  4.7          335          335           1           0     335373 MPI_Init() 
  4.6           97          332           8        4104      41538 CFFTS2 
  3.6       0.0127          258           6          18      43144 TRANSPOSE_X_YZ 
  2.3          166          166           8           0      20789 TRANSPOSE2_LOCAL 
  1.4        0.018          101           8           8      12716 TRANSPOSE2_GLOBAL 
  1.4          101          101           8           0      12714 MPI_Alltoall() 
  1.2           89           89           2           0      44538 COMPUTE_INDEXMAP 
  1.2       0.0173           86           2           6      43354 TRANSPOSE_XY_Z 
  1.1           77           77           6           0      12993 EVOLVE 
  1.1           77           77           8           0       9688 TRANSPOSE2_FINISH 
  0.3           18           18           2           4       9403 COMPUTE_INITIAL_CONDITIONS 
  0.0            1            1           1           0       1356 ALLOC_SPACE 
  0.0        0.441        0.441           5           0         88 MPI_Bcast() 
  0.0        0.107        0.285           6           6         47 CHECKSUM 
  0.0        0.196        0.196           2           0         98 MPI_Comm_split() 
  0.0        0.177        0.177           6           0         30 MPI_Reduce() 
  0.0         0.07         0.07           1           0         70 MPI_Barrier() 
  0.0       0.0612       0.0615           2           2         31 FFT_INIT 
  0.0      0.00675      0.00675           1           0          7 VERIFY 
  0.0      0.00625      0.00625          26           0          0 ILOG2 
  0.0      0.00125      0.00125           4           0          0 IPOW46 
  0.0      0.00075      0.00075           1           0          1 MPI_Comm_size() 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0        0.25           0          0 SET_CLASS 
