Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.022     1:30.387           4           4   22596920 .TAU application
100.0        0.734     1:30.387           4         288   22596914 FT 
 67.2        0.357     1:00.763          88         352     690495 FFT 
 37.4        1,318       33,793      450560 3.69459E+06         75 CFFTZ 
 35.9       32,474       32,474 3.69459E+06           0          9 FFTZ2 
 33.1        6,321       29,876         176      270512     169752 CFFTS1 
 24.9       22,492       22,492           4           0    5623175 MPI_Finalize() 
 16.4         0.22       14,839          80         240     185495 TRANSPOSE_X_YZ 
 16.2        4,361       14,600          88      180312     165916 CFFTS2 
  9.5        8,603        8,603          88           0      97769 TRANSPOSE2_LOCAL 
  5.2        0.223        4,685          88          88      53240 TRANSPOSE2_GLOBAL 
  5.2        4,684        4,684          88           0      53238 MPI_Alltoall() 
  4.5        4,111        4,111          80           0      51394 EVOLVE 
  3.3        2,997        2,997          88           0      34059 TRANSPOSE2_FINISH 
  1.6         0.07        1,446           8          24     180833 TRANSPOSE_XY_Z 
  1.5        0.691        1,361           4          45     340494 SETUP 
  1.5        1,353        1,353           4           0     338307 MPI_Init() 
  1.5        1,334        1,334           8           0     166762 COMPUTE_INDEXMAP 
  0.3          305          305           8          16      38217 COMPUTE_INITIAL_CONDITIONS 
  0.0           14           14           4           0       3586 MPI_Barrier() 
  0.0            5            5           4           0       1366 ALLOC_SPACE 
  0.0            1            2          80          80         32 CHECKSUM 
  0.0            1            1          20           0         87 MPI_Bcast() 
  0.0        0.907        0.907          80           0         11 MPI_Reduce() 
  0.0        0.857        0.857           8           0        107 MPI_Comm_split() 
  0.0        0.394        0.395           8           8         49 FFT_INIT 
  0.0        0.062        0.062         272           0          0 ILOG2 
  0.0        0.028        0.028           4           0          7 VERIFY 
  0.0        0.005        0.005          16           0          0 IPOW46 
  0.0        0.004        0.004           4           0          1 MPI_Comm_size() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 
  0.0            0            0           4           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0055       22,596           1           1   22596920 .TAU application
100.0        0.183       22,596           1          72   22596914 FT 
 67.2       0.0892       15,190          22          88     690495 FFT 
 37.4          329        8,448      112640      923648         75 CFFTZ 
 35.9        8,118        8,118      923648           0          9 FFTZ2 
 33.1        1,580        7,469          44       67628     169752 CFFTS1 
 24.9        5,623        5,623           1           0    5623175 MPI_Finalize() 
 16.4        0.055        3,709          20          60     185495 TRANSPOSE_X_YZ 
 16.2        1,090        3,650          22       45078     165916 CFFTS2 
  9.5        2,150        2,150          22           0      97769 TRANSPOSE2_LOCAL 
  5.2       0.0558        1,171          22          22      53240 TRANSPOSE2_GLOBAL 
  5.2        1,171        1,171          22           0      53238 MPI_Alltoall() 
  4.5        1,027        1,027          20           0      51394 EVOLVE 
  3.3          749          749          22           0      34059 TRANSPOSE2_FINISH 
  1.6       0.0175          361           2           6     180833 TRANSPOSE_XY_Z 
  1.5        0.173          340           1       11.25     340494 SETUP 
  1.5          338          338           1           0     338307 MPI_Init() 
  1.5          333          333           2           0     166762 COMPUTE_INDEXMAP 
  0.3           76           76           2           4      38217 COMPUTE_INITIAL_CONDITIONS 
  0.0            3            3           1           0       3586 MPI_Barrier() 
  0.0            1            1           1           0       1366 ALLOC_SPACE 
  0.0        0.418        0.645          20          20         32 CHECKSUM 
  0.0        0.433        0.433           5           0         87 MPI_Bcast() 
  0.0        0.227        0.227          20           0         11 MPI_Reduce() 
  0.0        0.214        0.214           2           0        107 MPI_Comm_split() 
  0.0       0.0985       0.0988           2           2         49 FFT_INIT 
  0.0       0.0155       0.0155          68           0          0 ILOG2 
  0.0        0.007        0.007           1           0          7 VERIFY 
  0.0      0.00125      0.00125           4           0          0 IPOW46 
  0.0        0.001        0.001           1           0          1 MPI_Comm_size() 
  0.0      0.00025      0.00025        0.25           0          1 SET_CLASS 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
