Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.033       31,217           4           4    7804375 .TAU application
100.0            1       31,217           4         148    7804366 MG_MPI 
 89.3       27,870       27,870           4           0    6967564 MPI_Finalize() 
  4.4        1,373        1,373           4           0     343455 MPI_Init() 
  3.6        0.459        1,131          20         720      56582 MG3P 
  2.8          733          868         168         168       5170 RESID 
  1.2          282          373         160         160       2331 PSINV 
  1.0            1          300         476        8568        631 COMM3 
  0.7          135          216           8        2544      27053 ZRAN3 
  0.7          147          204         140         140       1464 RPRJ3 
  0.6          175          176        2856        2856         62 READY 
  0.5          141          141         156           0        907 ZERO3 
  0.4          135          135         140         140        967 INTERP 
  0.3           46           86        2856        2856         30 GIVE3 
  0.3           83           85          16          32       5323 NORM2U3 
  0.1           39           39        2856           0         14 MPI_Send() 
  0.1           32           36        2856        2856         13 TAKE3 
  0.0            5            5           4           0       1380 ALLOC_SPACE 
  0.0            3            3         352           0          9 MPI_Allreduce() 
  0.0            3            3        2856           0          1 MPI_Wait() 
  0.0            1            1        2856           0          0 MPI_Irecv() 
  0.0            1            1          28           0         45 MPI_Bcast() 
  0.0            1            1          24           0         52 MPI_Barrier() 
  0.0        0.353        0.353        2168           0          0 BUBBLE 
  0.0        0.054        0.054           4           0         14 MPI_Reduce() 
  0.0        0.042        0.042         140           0          0 COMM3_EX 
  0.0        0.017        0.017           8           0          2 SETUP 
  0.0        0.012        0.012          24           0          0 POWER 
  0.0        0.002        0.002           4           0          0 MPI_Comm_size() 
  0.0            0            0           4           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00825        7,804           1           1    7804375 .TAU application
100.0        0.314        7,804           1          37    7804366 MG_MPI 
 89.3        6,967        6,967           1           0    6967564 MPI_Finalize() 
  4.4          343          343           1           0     343455 MPI_Init() 
  3.6        0.115          282           5         180      56582 MG3P 
  2.8          183          217          42          42       5170 RESID 
  1.2           70           93          40          40       2331 PSINV 
  1.0        0.335           75         119        2142        631 COMM3 
  0.7           33           54           2         636      27053 ZRAN3 
  0.7           36           51          35          35       1464 RPRJ3 
  0.6           43           44         714         714         62 READY 
  0.5           35           35          39           0        907 ZERO3 
  0.4           33           33          35          35        967 INTERP 
  0.3           11           21         714         714         30 GIVE3 
  0.3           20           21           4           8       5323 NORM2U3 
  0.1            9            9         714           0         14 MPI_Send() 
  0.1            8            9         714         714         13 TAKE3 
  0.0            1            1           1           0       1380 ALLOC_SPACE 
  0.0         0.83         0.83          88           0          9 MPI_Allreduce() 
  0.0        0.784        0.784         714           0          1 MPI_Wait() 
  0.0        0.336        0.336         714           0          0 MPI_Irecv() 
  0.0        0.314        0.314           7           0         45 MPI_Bcast() 
  0.0        0.309        0.309           6           0         52 MPI_Barrier() 
  0.0       0.0882       0.0882         542           0          0 BUBBLE 
  0.0       0.0135       0.0135           1           0         14 MPI_Reduce() 
  0.0       0.0105       0.0105          35           0          0 COMM3_EX 
  0.0      0.00425      0.00425           2           0          2 SETUP 
  0.0        0.003        0.003           6           0          0 POWER 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
