Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.017       19,661           2           2    9830632 .TAU application
100.0            1       19,661           2         138    9830624 MG_MPI 
 67.4       13,245       13,245           2           0    6622936 MPI_Finalize() 
 20.7         0.86        4,079          42        1512      97134 MG3P 
 14.5        2,526        2,849         340         340       8381 RESID 
  7.1        1,169        1,386         336         336       4126 PSINV 
  3.5          573          696         294         294       2369 RPRJ3 
  3.4            2          673         974       17532        691 COMM3 
  3.2          633          633           2           0     316756 MPI_Init() 
  2.3          453          453         294         294       1544 INTERP 
  1.7          335          338        5844        5844         58 READY 
  1.2          141          230        5844        5844         39 GIVE3 
  1.0          124          191           4        1338      47846 ZRAN3 
  0.9          171          171         302           0        570 ZERO3 
  0.5           99          102        5844        5844         18 TAKE3 
  0.5           88           88        5844           0         15 MPI_Send() 
  0.4           80           81           8          16      10234 NORM2U3 
  0.0            2            2        5844           0          0 MPI_Wait() 
  0.0            2            2           2           0       1362 ALLOC_SPACE 
  0.0            2            2        5844           0          0 MPI_Irecv() 
  0.0            1            1         176           0          9 MPI_Allreduce() 
  0.0            1            1          12           0        103 MPI_Barrier() 
  0.0        0.403        0.403          14           0         29 MPI_Bcast() 
  0.0        0.207        0.207        1150           0          0 BUBBLE 
  0.0        0.079        0.079         294           0          0 COMM3_EX 
  0.0        0.017        0.017           2           0          8 MPI_Reduce() 
  0.0        0.007        0.007           4           0          2 SETUP 
  0.0        0.006        0.006          12           0          0 POWER 
  0.0            0            0           2           0          0 MPI_Comm_rank() 
  0.0            0            0           2           0          0 MPI_Comm_size() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0085        9,830           1           1    9830632 .TAU application
100.0        0.552        9,830           1          69    9830624 MG_MPI 
 67.4        6,622        6,622           1           0    6622936 MPI_Finalize() 
 20.7         0.43        2,039          21         756      97134 MG3P 
 14.5        1,263        1,424         170         170       8381 RESID 
  7.1          584          693         168         168       4126 PSINV 
  3.5          286          348         147         147       2369 RPRJ3 
  3.4            1          336         487        8766        691 COMM3 
  3.2          316          316           1           0     316756 MPI_Init() 
  2.3          226          226         147         147       1544 INTERP 
  1.7          167          169        2922        2922         58 READY 
  1.2           70          115        2922        2922         39 GIVE3 
  1.0           62           95           2         669      47846 ZRAN3 
  0.9           85           85         151           0        570 ZERO3 
  0.5           49           51        2922        2922         18 TAKE3 
  0.5           44           44        2922           0         15 MPI_Send() 
  0.4           40           40           4           8      10234 NORM2U3 
  0.0            1            1        2922           0          0 MPI_Wait() 
  0.0            1            1           1           0       1362 ALLOC_SPACE 
  0.0            1            1        2922           0          0 MPI_Irecv() 
  0.0        0.829        0.829          88           0          9 MPI_Allreduce() 
  0.0        0.621        0.621           6           0        103 MPI_Barrier() 
  0.0        0.202        0.202           7           0         29 MPI_Bcast() 
  0.0        0.103        0.103         575           0          0 BUBBLE 
  0.0       0.0395       0.0395         147           0          0 COMM3_EX 
  0.0       0.0085       0.0085           1           0          8 MPI_Reduce() 
  0.0       0.0035       0.0035           2           0          2 SETUP 
  0.0        0.003        0.003           6           0          0 POWER 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 MPI_Comm_size() 
