Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.017     1:05.626           2           2   32813148 .TAU application
100.0            1     1:05.626           2         138   32813140 MG_MPI 
 54.7            1       35,876          42        1722     854194 MG3P 
 41.0       25,131       26,908         382         382      70442 RESID 
 20.1       13,221       13,221           2           0    6610906 MPI_Finalize() 
 19.4       11,538       12,707         378         378      33617 PSINV 
  8.1        4,701        5,323         336         336      15844 RPRJ3 
  5.7        3,755        3,756         336         336      11179 INTERP 
  5.5            3        3,627        1100       19800       3298 COMM3 
  2.8        1,801        1,805        6600        6600        274 READY 
  2.2          978        1,470           4        1482     367666 ZRAN3 
  2.0        1,331        1,331         344           0       3871 ZERO3 
  1.8          688        1,188        6600        6600        180 GIVE3 
  1.0          666          678           8          16      84832 NORM2U3 
  1.0          652          652           2           0     326308 MPI_Init() 
  1.0          623          629        6600        6600         95 TAKE3 
  0.8          500          500        6600           0         76 MPI_Send() 
  0.0           12           12         176           0         69 MPI_Allreduce() 
  0.0            6            6        6600           0          1 MPI_Wait() 
  0.0            3            3        6600           0          1 MPI_Irecv() 
  0.0            2            2           2           0       1378 ALLOC_SPACE 
  0.0            1            1          12           0        114 MPI_Barrier() 
  0.0        0.408        0.408          14           0         29 MPI_Bcast() 
  0.0        0.248        0.248        1294           0          0 BUBBLE 
  0.0        0.117        0.117         336           0          0 COMM3_EX 
  0.0        0.017        0.017           2           0          8 MPI_Reduce() 
  0.0        0.007        0.007           4           0          2 SETUP 
  0.0        0.003        0.003          12           0          0 POWER 
  0.0        0.001        0.001           2           0          0 MPI_Comm_size() 
  0.0            0            0           2           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0085       32,813           1           1   32813148 .TAU application
100.0        0.615       32,813           1          69   32813140 MG_MPI 
 54.7        0.622       17,938          21         861     854194 MG3P 
 41.0       12,565       13,454         191         191      70442 RESID 
 20.1        6,610        6,610           1           0    6610906 MPI_Finalize() 
 19.4        5,769        6,353         189         189      33617 PSINV 
  8.1        2,350        2,661         168         168      15844 RPRJ3 
  5.7        1,877        1,878         168         168      11179 INTERP 
  5.5            1        1,813         550        9900       3298 COMM3 
  2.8          900          902        3300        3300        274 READY 
  2.2          489          735           2         741     367666 ZRAN3 
  2.0          665          665         172           0       3871 ZERO3 
  1.8          344          594        3300        3300        180 GIVE3 
  1.0          333          339           4           8      84832 NORM2U3 
  1.0          326          326           1           0     326308 MPI_Init() 
  1.0          311          314        3300        3300         95 TAKE3 
  0.8          250          250        3300           0         76 MPI_Send() 
  0.0            6            6          88           0         69 MPI_Allreduce() 
  0.0            3            3        3300           0          1 MPI_Wait() 
  0.0            1            1        3300           0          1 MPI_Irecv() 
  0.0            1            1           1           0       1378 ALLOC_SPACE 
  0.0        0.687        0.687           6           0        114 MPI_Barrier() 
  0.0        0.204        0.204           7           0         29 MPI_Bcast() 
  0.0        0.124        0.124         647           0          0 BUBBLE 
  0.0       0.0585       0.0585         168           0          0 COMM3_EX 
  0.0       0.0085       0.0085           1           0          8 MPI_Reduce() 
  0.0       0.0035       0.0035           2           0          2 SETUP 
  0.0       0.0015       0.0015           6           0          0 POWER 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
