Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            1     4:02.931         256         256     948951 .TAU application
100.0           14     4:02.930         256        7680     948946 FT 
 54.9           15     2:13.376         256        2817     521003 SETUP 
 54.7     2:12.801     2:12.801         256           0     518757 MPI_Init() 
 37.8     1:31.800     1:31.800         256           0     358596 MPI_Finalize() 
  6.6            4       16,127        2048       10240       7875 FFT 
  3.3            3        8,106        2048        6144       3958 TRANSPOSE_X_Y 
  3.3        7,977        7,977        4096           0       1948 MPI_Alltoall() 
  2.8            2        6,811        2048        2048       3326 TRANSPOSE_X_Y_GLOBAL 
  2.6          786        6,221        6144      530432       1013 CFFTS1 
  2.2          760        5,433      524288 3.93216E+06         10 CFFTZ 
  1.9        4,673        4,673 3.93216E+06           0          1 FFTZ2 
  0.7            3        1,794        2048        6144        876 TRANSPOSE_X_Z 
  0.5            1        1,170        2048        2048        571 TRANSPOSE_X_Z_GLOBAL 
  0.4          921          921        2048           0        450 TRANSPOSE_X_Y_FINISH 
  0.3          771          771         512           0       1507 COMPUTE_INDEXMAP 
  0.2          397          397        2048           0        194 TRANSPOSE_X_Z_LOCAL 
  0.2          369          369        2048           0        181 TRANSPOSE_X_Y_LOCAL 
  0.1          292          292        1280           0        229 MPI_Bcast() 
  0.1          260          260         512           0        508 MPI_Comm_split() 
  0.1            6          240        1536        1536        157 CHECKSUM 
  0.1          235          235         256           0        918 MPI_Barrier() 
  0.1          234          234        1536           0        153 MPI_Reduce() 
  0.1          222          222        2048           0        109 TRANSPOSE_X_Z_FINISH 
  0.1          208          208        1536           0        136 EVOLVE 
  0.1          130          131         512        1024        256 COMPUTE_INITIAL_CONDITIONS 
  0.0           24           24         512         512         47 FFT_INIT 
  0.0            6            6         256           0         25 ALLOC_SPACE 
  0.0            1            1        6656           0          0 ILOG2 
  0.0        0.382        0.382        1024           0          0 IPOW46 
  0.0        0.123        0.123         256           0          0 MPI_Comm_size() 
  0.0        0.095        0.095         256           0          0 MPI_Comm_rank() 
  0.0        0.064        0.064         256           0          0 VERIFY 
  0.0            0            0           1           0          0 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00496          948           1           1     948951 .TAU application
100.0        0.055          948           1          30     948946 FT 
 54.9       0.0596          521           1     11.0039     521003 SETUP 
 54.7          518          518           1           0     518757 MPI_Init() 
 37.8          358          358           1           0     358596 MPI_Finalize() 
  6.6       0.0168           62           8          40       7875 FFT 
  3.3       0.0151           31           8          24       3958 TRANSPOSE_X_Y 
  3.3           31           31          16           0       1948 MPI_Alltoall() 
  2.8      0.00944           26           8           8       3326 TRANSPOSE_X_Y_GLOBAL 
  2.6            3           24          24        2072       1013 CFFTS1 
  2.2            2           21        2048       15360         10 CFFTZ 
  1.9           18           18       15360           0          1 FFTZ2 
  0.7       0.0144            7           8          24        876 TRANSPOSE_X_Z 
  0.5      0.00677            4           8           8        571 TRANSPOSE_X_Z_GLOBAL 
  0.4            3            3           8           0        450 TRANSPOSE_X_Y_FINISH 
  0.3            3            3           2           0       1507 COMPUTE_INDEXMAP 
  0.2            1            1           8           0        194 TRANSPOSE_X_Z_LOCAL 
  0.2            1            1           8           0        181 TRANSPOSE_X_Y_LOCAL 
  0.1            1            1           5           0        229 MPI_Bcast() 
  0.1            1            1           2           0        508 MPI_Comm_split() 
  0.1       0.0234        0.941           6           6        157 CHECKSUM 
  0.1        0.918        0.918           1           0        918 MPI_Barrier() 
  0.1        0.917        0.917           6           0        153 MPI_Reduce() 
  0.1         0.87         0.87           8           0        109 TRANSPOSE_X_Z_FINISH 
  0.1        0.815        0.815           6           0        136 EVOLVE 
  0.1        0.511        0.512           2           4        256 COMPUTE_INITIAL_CONDITIONS 
  0.0       0.0946       0.0949           2           2         47 FFT_INIT 
  0.0       0.0253       0.0253           1           0         25 ALLOC_SPACE 
  0.0      0.00517      0.00517          26           0          0 ILOG2 
  0.0      0.00149      0.00149           4           0          0 IPOW46 
  0.0      0.00048      0.00048           1           0          0 MPI_Comm_size() 
  0.0     0.000371     0.000371           1           0          0 MPI_Comm_rank() 
  0.0      0.00025      0.00025           1           0          0 VERIFY 
  0.0            0            0  0.00390625           0          0 SET_CLASS 
