Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            1    13:08.082         256         256    3078449 .TAU application
100.0           34    13:08.081         256       18432    3078444 FT 
 62.9           25     8:15.737        5632       22528      88022 FFT 
 27.5           18     3:37.046        5120       15360      42392 TRANSPOSE_X_YZ 
 23.4           18     3:04.216        5632        5632      32709 TRANSPOSE2_GLOBAL 
 23.4     3:04.198     3:04.198        5632           0      32706 MPI_Alltoall() 
 21.4       11,576     2:48.337 1.08134E+06  9.7321E+06        156 CFFTZ 
 19.9     2:36.760     2:36.760  9.7321E+06           0         16 FFTZ2 
 18.3       31,882     2:23.909       11264      732160      12776 CFFTS1 
 17.9           16     2:21.231         256        2817     551687 SETUP 
 17.8     2:19.969     2:19.969         256           0     546755 MPI_Init() 
 12.2     1:36.045     1:36.045         256           0     375179 MPI_Finalize() 
 11.7       35,892     1:32.209        5632      366080      16372 CFFTS2 
  5.4            5       42,545         512        1536      83098 TRANSPOSE_XY_Z 
  5.0       39,758       39,758        5632           0       7059 TRANSPOSE2_LOCAL 
  4.5       35,592       35,592        5632           0       6320 TRANSPOSE2_FINISH 
  4.1       31,966       31,966        5120           0       6244 EVOLVE 
  1.5       11,799       11,799         512           0      23046 COMPUTE_INDEXMAP 
  0.8           30        6,209        5120        5120       1213 CHECKSUM 
  0.8        6,178        6,178        5120           0       1207 MPI_Reduce() 
  0.4        3,453        3,453         256           0      13491 MPI_Barrier() 
  0.2        1,564        1,565         512        1024       3057 COMPUTE_INITIAL_CONDITIONS 
  0.1          491          491         256           0       1919 ALLOC_SPACE 
  0.1          412          412         512           0        806 MPI_Comm_split() 
  0.0          342          342        1280           0        267 MPI_Bcast() 
  0.0           37           37         512         512         74 FFT_INIT 
  0.0            6            6       17408           0          0 ILOG2 
  0.0         0.45         0.45        1024           0          0 IPOW46 
  0.0        0.141        0.141         256           0          1 MPI_Comm_size() 
  0.0        0.062        0.062         256           0          0 VERIFY 
  0.0        0.039        0.039         256           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00489        3,078           1           1    3078449 .TAU application
100.0        0.133        3,078           1          72    3078444 FT 
 62.9       0.0998        1,936          22          88      88022 FFT 
 27.5       0.0742          847          20          60      42392 TRANSPOSE_X_YZ 
 23.4       0.0705          719          22          22      32709 TRANSPOSE2_GLOBAL 
 23.4          719          719          22           0      32706 MPI_Alltoall() 
 21.4           45          657        4224       38016        156 CFFTZ 
 19.9          612          612       38016           0         16 FFTZ2 
 18.3          124          562          44        2860      12776 CFFTS1 
 17.9       0.0648          551           1     11.0039     551687 SETUP 
 17.8          546          546           1           0     546755 MPI_Init() 
 12.2          375          375           1           0     375179 MPI_Finalize() 
 11.7          140          360          22        1430      16372 CFFTS2 
  5.4       0.0214          166           2           6      83098 TRANSPOSE_XY_Z 
  5.0          155          155          22           0       7059 TRANSPOSE2_LOCAL 
  4.5          139          139          22           0       6320 TRANSPOSE2_FINISH 
  4.1          124          124          20           0       6244 EVOLVE 
  1.5           46           46           2           0      23046 COMPUTE_INDEXMAP 
  0.8        0.119           24          20          20       1213 CHECKSUM 
  0.8           24           24          20           0       1207 MPI_Reduce() 
  0.4           13           13           1           0      13491 MPI_Barrier() 
  0.2            6            6           2           4       3057 COMPUTE_INITIAL_CONDITIONS 
  0.1            1            1           1           0       1919 ALLOC_SPACE 
  0.1            1            1           2           0        806 MPI_Comm_split() 
  0.0            1            1           5           0        267 MPI_Bcast() 
  0.0        0.146        0.147           2           2         74 FFT_INIT 
  0.0       0.0265       0.0265          68           0          0 ILOG2 
  0.0      0.00176      0.00176           4           0          0 IPOW46 
  0.0     0.000551     0.000551           1           0          1 MPI_Comm_size() 
  0.0     0.000242     0.000242           1           0          0 VERIFY 
  0.0     0.000152     0.000152           1           0          0 MPI_Comm_rank() 
  0.0     3.91E-06     3.91E-06  0.00390625           0          1 SET_CLASS 
