Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            1     4:48.105         256         256    1125412 .TAU application
100.0           28     4:48.103         256       17664    1125405 MG_MPI 
 47.1     2:15.747     2:15.747         256           0     530264 MPI_Init() 
 46.0     2:12.564     2:12.564         256           0     517829 MPI_Finalize() 
  5.2           78       15,019        5376      193536       2794 MG3P 
  4.0          317       11,395      124672 1.86139E+06         91 COMM3 
  2.7        2,769        7,865       43520       43520        181 RESID 
  2.0        5,830        5,830      634464           0          9 MPI_Wait() 
  1.8          595        5,246      612960      612960          9 TAKE3 
  1.7        1,427        4,779       43008       43008        111 PSINV 
  1.1          491        3,248       37632       37632         86 RPRJ3 
  1.1          602        3,152      612960      612960          5 GIVE3 
  1.0        2,431        2,757      634464      634464          4 READY 
  0.9        2,581        2,581      634464           0          4 MPI_Send() 
  0.7          542        1,877       37632       37632         50 INTERP 
  0.5           19        1,335       37632       64512         35 COMM3_EX 
  0.4            9        1,188       21504       21504         55 TAKE3_EX 
  0.4          159        1,046         512      124128       2044 ZRAN3 
  0.2          554          554       22528           0         25 MPI_Allreduce() 
  0.1          373          373       61168           0          6 ZERO3 
  0.1          326          326      634464           0          1 MPI_Irecv() 
  0.1          324          324        1536           0        211 MPI_Barrier() 
  0.1           98          224        1024        2048        220 NORM2U3 
  0.1          189          189        1792           0        106 MPI_Bcast() 
  0.0            9           41       21504       21504          2 GIVE3_EX 
  0.0           18           18      100064           0          0 BUBBLE 
  0.0            7            7         256           0         28 ALLOC_SPACE 
  0.0            3            3         256           0         14 MPI_Reduce() 
  0.0            1            1         512           0          2 SETUP 
  0.0        0.579        0.579        1536           0          0 POWER 
  0.0        0.127        0.127         256           0          0 MPI_Comm_size() 
  0.0         0.06         0.06         256           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00684        1,125           1           1    1125412 .TAU application
100.0        0.112        1,125           1          69    1125405 MG_MPI 
 47.1          530          530           1           0     530264 MPI_Init() 
 46.0          517          517           1           0     517829 MPI_Finalize() 
  5.2        0.306           58          21         756       2794 MG3P 
  4.0            1           44         487     7271.06         91 COMM3 
  2.7           10           30         170         170        181 RESID 
  2.0           22           22     2478.38           0          9 MPI_Wait() 
  1.8            2           20     2394.38     2394.38          9 TAKE3 
  1.7            5           18         168         168        111 PSINV 
  1.1            1           12         147         147         86 RPRJ3 
  1.1            2           12     2394.38     2394.38          5 GIVE3 
  1.0            9           10     2478.38     2478.38          4 READY 
  0.9           10           10     2478.38           0          4 MPI_Send() 
  0.7            2            7         147         147         50 INTERP 
  0.5       0.0759            5         147         252         35 COMM3_EX 
  0.4       0.0377            4          84          84         55 TAKE3_EX 
  0.4        0.623            4           2     484.875       2044 ZRAN3 
  0.2            2            2          88           0         25 MPI_Allreduce() 
  0.1            1            1     238.938           0          6 ZERO3 
  0.1            1            1     2478.38           0          1 MPI_Irecv() 
  0.1            1            1           6           0        211 MPI_Barrier() 
  0.1        0.385        0.878           4           8        220 NORM2U3 
  0.1         0.74         0.74           7           0        106 MPI_Bcast() 
  0.0       0.0388        0.163          84          84          2 GIVE3_EX 
  0.0        0.073        0.073     390.875           0          0 BUBBLE 
  0.0       0.0281       0.0281           1           0         28 ALLOC_SPACE 
  0.0       0.0142       0.0142           1           0         14 MPI_Reduce() 
  0.0      0.00392      0.00392           2           0          2 SETUP 
  0.0      0.00226      0.00226           6           0          0 POWER 
  0.0     0.000496     0.000496           1           0          0 MPI_Comm_size() 
  0.0     0.000234     0.000234           1           0          0 MPI_Comm_rank() 
