Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.254       36,154          32          32    1129829 .TAU application
100.0            6       36,154          32        5376    1129821 CG 
 51.3            2       18,554          32         128     579839 INITIALIZE_MPI 
 51.3       18,529       18,529          32           0     579038 MPI_Init() 
 32.6       11,793       11,793          32           0     368558 MPI_Finalize() 
  9.7        1,196        3,524         512      399360       6883 CONJ_GRAD 
  6.3          220        2,263          32      896032      70737 MAKEA 
  5.3          977        1,908      448000  5.7711E+06          4 SPRNVC 
  5.1        1,852        1,852      134656           0         14 MPI_Wait() 
  2.6          930          930  5.7711E+06           0          0 ICNVRT 
  1.2          424          424      134656           0          3 MPI_Send() 
  0.2           79           79      448000           0          0 VECSET 
  0.2           54           54          32           0       1712 SPARSE 
  0.1           53           53      134656           0          0 MPI_Irecv() 
  0.1           23           23          32           0        737 MPI_Bcast() 
  0.0            3            3          32           0        112 MPI_Reduce() 
  0.0            2            2          32           0         85 MPI_Barrier() 
  0.0            1            1          32           0         58 ALLOC_SPACE 
  0.0        0.016        0.016          32           0          0 SETUP_SUBMATRIX_INFO 
  0.0        0.015        0.015          32           0          0 MPI_Comm_size() 
  0.0        0.013        0.013          32           0          0 MPI_Comm_rank() 
  0.0         0.01         0.01          32           0          0 SETUP_PROC_INFO 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00794        1,129           1           1    1129829 .TAU application
100.0        0.205        1,129           1         168    1129821 CG 
 51.3       0.0643          579           1           4     579839 INITIALIZE_MPI 
 51.3          579          579           1           0     579038 MPI_Init() 
 32.6          368          368           1           0     368558 MPI_Finalize() 
  9.7           37          110          16       12480       6883 CONJ_GRAD 
  6.3            6           70           1       28001      70737 MAKEA 
  5.3           30           59       14000      180347          4 SPRNVC 
  5.1           57           57        4208           0         14 MPI_Wait() 
  2.6           29           29      180347           0          0 ICNVRT 
  1.2           13           13        4208           0          3 MPI_Send() 
  0.2            2            2       14000           0          0 VECSET 
  0.2            1            1           1           0       1712 SPARSE 
  0.1            1            1        4208           0          0 MPI_Irecv() 
  0.1        0.737        0.737           1           0        737 MPI_Bcast() 
  0.0        0.112        0.112           1           0        112 MPI_Reduce() 
  0.0       0.0851       0.0851           1           0         85 MPI_Barrier() 
  0.0       0.0583       0.0583           1           0         58 ALLOC_SPACE 
  0.0       0.0005       0.0005           1           0          0 SETUP_SUBMATRIX_INFO 
  0.0     0.000469     0.000469           1           0          0 MPI_Comm_size() 
  0.0     0.000406     0.000406           1           0          0 MPI_Comm_rank() 
  0.0     0.000313     0.000313           1           0          0 SETUP_PROC_INFO 
