Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0         0.24    47:03.691          32          32   88240344 .TAU application
100.0           14    47:03.690          32        4128   88240337 MG_MPI 
 74.0          140    34:50.430        1632       75072    1280901 MG3P 
 52.2    18:29.406    24:33.687       16384       16384      89947 RESID 
 25.0          306    11:45.007       47456      812592      14856 COMM3 
 24.4     8:03.018    11:29.958       16320       16320      42277 PSINV 
 12.6       24,902     5:55.721      270048      270048       1317 GIVE3 
 11.7     5:30.823     5:30.823      273312           0       1210 MPI_Send() 
 10.6     2:46.712     4:58.140       14688       14688      20298 RPRJ3 
  9.0     4:06.741     4:15.070       14688       14688      17366 INTERP 
  8.6     4:01.464     4:03.274      273312      273312        890 READY 
  3.8       24,504     1:48.691      270048      270048        402 TAKE3 
  3.2     1:29.503     1:29.503      273312           0        327 MPI_Wait() 
  1.6       44,504       44,504       17264           0       2578 ZERO3 
  1.1       18,743       31,751          64       23554     496111 ZRAN3 
  0.5       15,141       15,141          32           0     473169 MPI_Finalize() 
  0.5       14,800       14,800          32           0     462527 MPI_Init() 
  0.3           13        8,329       14688        9792        567 COMM3_EX 
  0.3        7,094        7,860         128         256      61408 NORM2U3 
  0.2            3        5,319        3264        3264       1630 TAKE3_EX 
  0.1        3,162        3,162         192           0      16471 MPI_Barrier() 
  0.1        1,810        1,810      273312           0          7 MPI_Irecv() 
  0.0          787          787        2816           0        280 MPI_Allreduce() 
  0.0           57           57          32           0       1807 ALLOC_SPACE 
  0.0           24           24         224           0        108 MPI_Bcast() 
  0.0            1            6        3264        3264          2 GIVE3_EX 
  0.0            4            4       20546           0          0 BUBBLE 
  0.0         0.48         0.48          32           0         15 MPI_Reduce() 
  0.0        0.202        0.202          64           0          3 SETUP 
  0.0        0.153        0.153         192           0          1 POWER 
  0.0        0.018        0.018          32           0          1 MPI_Comm_size() 
  0.0        0.008        0.008          32           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0075     1:28.240           1           1   88240344 .TAU application
100.0        0.451     1:28.240           1         129   88240337 MG_MPI 
 74.0            4     1:05.325          51        2346    1280901 MG3P 
 52.2       34,668       46,052         512         512      89947 RESID 
 25.0            9       22,031        1483     25393.5      14856 COMM3 
 24.4       15,094       21,561         510         510      42277 PSINV 
 12.6          778       11,116        8439        8439       1317 GIVE3 
 11.7       10,338       10,338        8541           0       1210 MPI_Send() 
 10.6        5,209        9,316         459         459      20298 RPRJ3 
  9.0        7,710        7,970         459         459      17366 INTERP 
  8.6        7,545        7,602        8541        8541        890 READY 
  3.8          765        3,396        8439        8439        402 TAKE3 
  3.2        2,796        2,796        8541           0        327 MPI_Wait() 
  1.6        1,390        1,390       539.5           0       2578 ZERO3 
  1.1          585          992           2     736.062     496111 ZRAN3 
  0.5          473          473           1           0     473169 MPI_Finalize() 
  0.5          462          462           1           0     462527 MPI_Init() 
  0.3        0.436          260         459         306        567 COMM3_EX 
  0.3          221          245           4           8      61408 NORM2U3 
  0.2         0.11          166         102         102       1630 TAKE3_EX 
  0.1           98           98           6           0      16471 MPI_Barrier() 
  0.1           56           56        8541           0          7 MPI_Irecv() 
  0.0           24           24          88           0        280 MPI_Allreduce() 
  0.0            1            1           1           0       1807 ALLOC_SPACE 
  0.0        0.759        0.759           7           0        108 MPI_Bcast() 
  0.0       0.0598          0.2         102         102          2 GIVE3_EX 
  0.0        0.134        0.134     642.062           0          0 BUBBLE 
  0.0        0.015        0.015           1           0         15 MPI_Reduce() 
  0.0      0.00631      0.00631           2           0          3 SETUP 
  0.0      0.00478      0.00478           6           0          1 POWER 
  0.0     0.000562     0.000562           1           0          1 MPI_Comm_size() 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
