Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0         0.04     2:38.689           8           8   19836190 .TAU application
100.0            1     2:38.689           8         576   19836186 FT 
 52.6     1:23.512     1:23.512           8           0   10439055 MPI_Finalize() 
 40.1        0.675     1:03.600         176         704     361369 FFT 
 21.4        1,327       33,922      450560 3.69459E+06         75 CFFTZ 
 20.5       32,595       32,595 3.69459E+06           0          9 FFTZ2 
 18.9        6,308       30,042         352      270688      85347 CFFTS1 
 10.8        0.413       17,185         160         480     107410 TRANSPOSE_X_YZ 
  9.2        4,362       14,551         176      180400      82681 CFFTS2 
  5.8        9,167        9,167         176           0      52091 TRANSPOSE2_LOCAL 
  4.2        6,609        6,609         160           0      41307 EVOLVE 
  3.5        0.465        5,570         176         176      31652 TRANSPOSE2_GLOBAL 
  3.5        5,570        5,570         176           0      31649 MPI_Alltoall() 
  2.7        4,266        4,266         176           0      24244 TRANSPOSE2_FINISH 
  2.0        0.851        3,183           8          89     397940 SETUP 
  2.0        3,165        3,165           8           0     395681 MPI_Init() 
  1.1        0.151        1,820          16          48     113790 TRANSPOSE_XY_Z 
  0.8        1,335        1,335          16           0      83462 COMPUTE_INDEXMAP 
  0.2          358          358          16          32      22433 COMPUTE_INITIAL_CONDITIONS 
  0.0            2           67         160         160        419 CHECKSUM 
  0.0           64           64         160           0        402 MPI_Reduce() 
  0.0           19           19           8           0       2496 MPI_Barrier() 
  0.0           11           11           8           0       1425 ALLOC_SPACE 
  0.0            3            3          40           0         93 MPI_Bcast() 
  0.0            2            2          16           0        130 MPI_Comm_split() 
  0.0        0.815        0.818          16          16         51 FFT_INIT 
  0.0        0.151        0.151         544           0          0 ILOG2 
  0.0        0.022        0.022           8           0          3 VERIFY 
  0.0        0.015        0.015          32           0          0 IPOW46 
  0.0        0.004        0.004           8           0          0 MPI_Comm_size() 
  0.0        0.002        0.002           8           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.005       19,836           1           1   19836190 .TAU application
100.0        0.143       19,836           1          72   19836186 FT 
 52.6       10,439       10,439           1           0   10439055 MPI_Finalize() 
 40.1       0.0844        7,950          22          88     361369 FFT 
 21.4          165        4,240       56320      461824         75 CFFTZ 
 20.5        4,074        4,074      461824           0          9 FFTZ2 
 18.9          788        3,755          44       33836      85347 CFFTS1 
 10.8       0.0516        2,148          20          60     107410 TRANSPOSE_X_YZ 
  9.2          545        1,818          22       22550      82681 CFFTS2 
  5.8        1,145        1,145          22           0      52091 TRANSPOSE2_LOCAL 
  4.2          826          826          20           0      41307 EVOLVE 
  3.5       0.0581          696          22          22      31652 TRANSPOSE2_GLOBAL 
  3.5          696          696          22           0      31649 MPI_Alltoall() 
  2.7          533          533          22           0      24244 TRANSPOSE2_FINISH 
  2.0        0.106          397           1      11.125     397940 SETUP 
  2.0          395          395           1           0     395681 MPI_Init() 
  1.1       0.0189          227           2           6     113790 TRANSPOSE_XY_Z 
  0.8          166          166           2           0      83462 COMPUTE_INDEXMAP 
  0.2           44           44           2           4      22433 COMPUTE_INITIAL_CONDITIONS 
  0.0        0.339            8          20          20        419 CHECKSUM 
  0.0            8            8          20           0        402 MPI_Reduce() 
  0.0            2            2           1           0       2496 MPI_Barrier() 
  0.0            1            1           1           0       1425 ALLOC_SPACE 
  0.0        0.467        0.467           5           0         93 MPI_Bcast() 
  0.0        0.261        0.261           2           0        130 MPI_Comm_split() 
  0.0        0.102        0.102           2           2         51 FFT_INIT 
  0.0       0.0189       0.0189          68           0          0 ILOG2 
  0.0      0.00275      0.00275           1           0          3 VERIFY 
  0.0      0.00187      0.00187           4           0          0 IPOW46 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
  0.0            0            0       0.125           0          0 SET_CLASS 
