Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.065     2:25.737           8           8   18217232 .TAU application
100.0            2     2:25.737           8         552   18217224 MG_MPI 
 51.3     1:14.731     1:14.731           8           0    9341460 MPI_Finalize() 
 32.4            5       47,275         168        6888     281401 MG3P 
 23.7       30,682       34,528        1528        1528      22597 RESID 
 10.0       12,389       14,534        1512        1512       9613 PSINV 
  5.4        7,935        7,935        1344        1344       5905 INTERP 
  4.8           13        6,957        4400       79200       1581 COMM3 
  4.4        5,527        6,367        1344        1344       4738 RPRJ3 
  2.4        1,499        3,570       26400       26400        135 GIVE3 
  2.1        3,015        3,015           8           0     376985 MPI_Init() 
  1.6        1,561        2,325          16        5656     145348 ZRAN3 
  1.5        2,180        2,180        1376           0       1585 ZERO3 
  1.4        2,071        2,071       26400           0         78 MPI_Send() 
  1.3        1,872        1,887       26400       26400         71 READY 
  1.0        1,434        1,486       26400       26400         56 TAKE3 
  0.5          694          714          32          64      22341 NORM2U3 
  0.0           51           51       26400           0          2 MPI_Wait() 
  0.0           23           23         704           0         34 MPI_Allreduce() 
  0.0           14           14       26400           0          1 MPI_Irecv() 
  0.0           13           13          48           0        282 MPI_Barrier() 
  0.0           11           11           8           0       1420 ALLOC_SPACE 
  0.0            3            3          56           0         54 MPI_Bcast() 
  0.0        0.856        0.856        4904           0          0 BUBBLE 
  0.0        0.588        0.588        1344           0          0 COMM3_EX 
  0.0          0.1          0.1           8           0         12 MPI_Reduce() 
  0.0        0.038        0.038          48           0          1 POWER 
  0.0        0.032        0.032          16           0          2 SETUP 
  0.0        0.004        0.004           8           0          0 MPI_Comm_size() 
  0.0        0.001        0.001           8           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00813       18,217           1           1   18217232 .TAU application
100.0        0.287       18,217           1          69   18217224 MG_MPI 
 51.3        9,341        9,341           1           0    9341460 MPI_Finalize() 
 32.4        0.666        5,909          21         861     281401 MG3P 
 23.7        3,835        4,316         191         191      22597 RESID 
 10.0        1,548        1,816         189         189       9613 PSINV 
  5.4          991          991         168         168       5905 INTERP 
  4.8            1          869         550        9900       1581 COMM3 
  4.4          690          795         168         168       4738 RPRJ3 
  2.4          187          446        3300        3300        135 GIVE3 
  2.1          376          376           1           0     376985 MPI_Init() 
  1.6          195          290           2         707     145348 ZRAN3 
  1.5          272          272         172           0       1585 ZERO3 
  1.4          258          258        3300           0         78 MPI_Send() 
  1.3          234          235        3300        3300         71 READY 
  1.0          179          185        3300        3300         56 TAKE3 
  0.5           86           89           4           8      22341 NORM2U3 
  0.0            6            6        3300           0          2 MPI_Wait() 
  0.0            2            2          88           0         34 MPI_Allreduce() 
  0.0            1            1        3300           0          1 MPI_Irecv() 
  0.0            1            1           6           0        282 MPI_Barrier() 
  0.0            1            1           1           0       1420 ALLOC_SPACE 
  0.0        0.381        0.381           7           0         54 MPI_Bcast() 
  0.0        0.107        0.107         613           0          0 BUBBLE 
  0.0       0.0735       0.0735         168           0          0 COMM3_EX 
  0.0       0.0125       0.0125           1           0         12 MPI_Reduce() 
  0.0      0.00475      0.00475           6           0          1 POWER 
  0.0        0.004        0.004           2           0          2 SETUP 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0     0.000125     0.000125           1           0          0 MPI_Comm_rank() 
