Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.082     2:23.971          16          16    8998241 .TAU application
100.0            4     2:23.971          16        3569    8998236 MPBT 
 47.5     1:08.446     1:08.446          16           0    4277911 MPI_Finalize() 
 45.4            9     1:05.341        3216       16080      20318 ADI 
 15.7           31       22,562        3216      122208       7016 Z_SOLVE 
 13.1       18,788       18,795       12864       12864       1461 Z_SOLVE_CELL 
 12.4           27       17,828        3216      122208       5544 X_SOLVE 
 12.2           33       17,578        3216      122208       5466 Y_SOLVE 
 10.0       14,359       14,366       12864       12864       1117 Y_SOLVE_CELL 
  9.6       13,825       13,836       12864       12864       1076 X_SOLVE_CELL 
  6.2        0.501        8,878          16          80     554927 SETUP_MPI 
  6.2        8,871        8,871          16           0     554451 MPI_Init() 
  4.8          655        6,927        3232       45248       2143 COPY_FACES 
  3.8        5,401        5,401      115776           0         47 MPI_Wait() 
  3.2        4,537        4,537        3232           0       1404 COMPUTE_RHS 
  1.2        1,658        1,658        3232           0        513 MPI_Waitall() 
  1.0        1,503        1,503       12864           0        117 X_BACKSUBSTITUTE 
  0.8        1,145        1,145       12864           0         89 Y_BACKSUBSTITUTE 
  0.8        1,111        1,111       12864           0         86 Z_BACKSUBSTITUTE 
  0.6          351          821          32 3.19488E+06      25683 INITIALIZE 
  0.5          743          743        9648           0         77 X_UNPACK_SOLVE_INFO 
  0.4          639          639 4.33346E+06           0          0 EXACT_SOLUTION 
  0.3          467          467        3216           0        146 ADD 
  0.2          126          257          16      876432      16101 EXACT_RHS 
  0.2          218          218        9648           0         23 Y_UNPACK_SOLVE_INFO 
  0.1          189          189       77280           0          2 MPI_Isend() 
  0.1        0.269          179          16          48      11205 VERIFY 
  0.1          162          162        9648           0         17 Z_UNPACK_SOLVE_INFO 
  0.1          124          155        9648        9648         16 X_SEND_SOLVE_INFO 
  0.1           31          108          16      262160       6797 ERROR_NORM 
  0.1           82          104        9648        9648         11 Z_SEND_SOLVE_INFO 
  0.1           82          104        9648        9648         11 Y_SEND_SOLVE_INFO 
  0.1           75           75          32           0       2364 MPI_Allreduce() 
  0.0           49           49       77280           0          1 MPI_Irecv() 
  0.0           22           45        9648        9648          5 X_SEND_BACKSUB_INFO 
  0.0           14           37        9648        9648          4 Z_SEND_BACKSUB_INFO 
  0.0        0.792           36          16          16       2289 RHS_NORM 
  0.0           16           30        9648        9648          3 Y_SEND_BACKSUB_INFO 
  0.0           24           24       38592           0          1 LHSABINIT 
  0.0           22           22        9648           0          2 Z_UNPACK_BACKSUB_INFO 
  0.0           21           21          16           0       1372 LHSINIT 
  0.0           21           21        9648           0          2 X_UNPACK_BACKSUB_INFO 
  0.0           20           20        9648           0          2 Y_UNPACK_BACKSUB_INFO 
  0.0           11           11          96           0        115 MPI_Bcast() 
  0.0            3            9        9648        9648          1 X_RECEIVE_SOLVE_INFO 
  0.0            3            8        9648        9648          1 Z_RECEIVE_SOLVE_INFO 
  0.0            3            8        9648        9648          1 Y_RECEIVE_SOLVE_INFO 
  0.0            3            8        9648        9648          1 Z_RECEIVE_BACKSUB_INFO 
  0.0            3            8        9648        9648          1 Y_RECEIVE_BACKSUB_INFO 
  0.0            3            7        9648        9648          1 X_RECEIVE_BACKSUB_INFO 
  0.0            7            7          32           0        240 MPI_Barrier() 
  0.0            7            7          32           0        222 MPI_Comm_dup() 
  0.0            1            1          16           0         65 ALLOC_SPACE 
  0.0        0.336        0.336          16           0         21 MPI_Reduce() 
  0.0         0.02         0.02          16           0          1 SET_CONSTANTS 
  0.0        0.013        0.013          16           0          1 MPI_Comm_size() 
  0.0        0.007        0.007          16           0          0 COMPUTE_BUFFER_SIZE 
  0.0        0.005        0.005          16           0          0 BTIO_CLEANUP 
  0.0        0.005        0.005          16           0          0 MAKE_SET 
  0.0        0.002        0.002          16           0          0 SETUP_BTIO 
  0.0        0.001        0.001          16           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00513        8,998           1           1    8998241 .TAU application
100.0        0.268        8,998           1     223.062    8998236 MPBT 
 47.5        4,277        4,277           1           0    4277911 MPI_Finalize() 
 45.4          0.6        4,083         201        1005      20318 ADI 
 15.7            1        1,410         201        7638       7016 Z_SOLVE 
 13.1        1,174        1,174         804         804       1461 Z_SOLVE_CELL 
 12.4            1        1,114         201        7638       5544 X_SOLVE 
 12.2            2        1,098         201        7638       5466 Y_SOLVE 
 10.0          897          897         804         804       1117 Y_SOLVE_CELL 
  9.6          864          864         804         804       1076 X_SOLVE_CELL 
  6.2       0.0313          554           1           5     554927 SETUP_MPI 
  6.2          554          554           1           0     554451 MPI_Init() 
  4.8           40          432         202        2828       2143 COPY_FACES 
  3.8          337          337        7236           0         47 MPI_Wait() 
  3.2          283          283         202           0       1404 COMPUTE_RHS 
  1.2          103          103         202           0        513 MPI_Waitall() 
  1.0           93           93         804           0        117 X_BACKSUBSTITUTE 
  0.8           71           71         804           0         89 Y_BACKSUBSTITUTE 
  0.8           69           69         804           0         86 Z_BACKSUBSTITUTE 
  0.6           21           51           2      199680      25683 INITIALIZE 
  0.5           46           46         603           0         77 X_UNPACK_SOLVE_INFO 
  0.4           39           39      270841           0          0 EXACT_SOLUTION 
  0.3           29           29         201           0        146 ADD 
  0.2            7           16           1       54777      16101 EXACT_RHS 
  0.2           13           13         603           0         23 Y_UNPACK_SOLVE_INFO 
  0.1           11           11        4830           0          2 MPI_Isend() 
  0.1       0.0168           11           1           3      11205 VERIFY 
  0.1           10           10         603           0         17 Z_UNPACK_SOLVE_INFO 
  0.1            7            9         603         603         16 X_SEND_SOLVE_INFO 
  0.1            1            6           1       16385       6797 ERROR_NORM 
  0.1            5            6         603         603         11 Z_SEND_SOLVE_INFO 
  0.1            5            6         603         603         11 Y_SEND_SOLVE_INFO 
  0.1            4            4           2           0       2364 MPI_Allreduce() 
  0.0            3            3        4830           0          1 MPI_Irecv() 
  0.0            1            2         603         603          5 X_SEND_BACKSUB_INFO 
  0.0        0.902            2         603         603          4 Z_SEND_BACKSUB_INFO 
  0.0       0.0495            2           1           1       2289 RHS_NORM 
  0.0            1            1         603         603          3 Y_SEND_BACKSUB_INFO 
  0.0            1            1        2412           0          1 LHSABINIT 
  0.0            1            1         603           0          2 Z_UNPACK_BACKSUB_INFO 
  0.0            1            1           1           0       1372 LHSINIT 
  0.0            1            1         603           0          2 X_UNPACK_BACKSUB_INFO 
  0.0            1            1         603           0          2 Y_UNPACK_BACKSUB_INFO 
  0.0        0.688        0.688           6           0        115 MPI_Bcast() 
  0.0        0.244        0.622         603         603          1 X_RECEIVE_SOLVE_INFO 
  0.0        0.234        0.542         603         603          1 Z_RECEIVE_SOLVE_INFO 
  0.0         0.22        0.539         603         603          1 Y_RECEIVE_SOLVE_INFO 
  0.0        0.223        0.524         603         603          1 Z_RECEIVE_BACKSUB_INFO 
  0.0        0.228        0.508         603         603          1 Y_RECEIVE_BACKSUB_INFO 
  0.0         0.22        0.494         603         603          1 X_RECEIVE_BACKSUB_INFO 
  0.0        0.481        0.481           2           0        240 MPI_Barrier() 
  0.0        0.444        0.444           2           0        222 MPI_Comm_dup() 
  0.0       0.0651       0.0651           1           0         65 ALLOC_SPACE 
  0.0        0.021        0.021           1           0         21 MPI_Reduce() 
  0.0      0.00125      0.00125           1           0          1 SET_CONSTANTS 
  0.0     0.000812     0.000812           1           0          1 MPI_Comm_size() 
  0.0     0.000438     0.000438           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0     0.000313     0.000313           1           0          0 BTIO_CLEANUP 
  0.0     0.000313     0.000313           1           0          0 MAKE_SET 
  0.0     0.000125     0.000125           1           0          0 SETUP_BTIO 
  0.0     6.25E-05     6.25E-05           1           0          0 MPI_Comm_rank() 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
