Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.074     1:58.671          16          16    7416938 .TAU application
100.0            6     1:58.670          16        6705    7416933 MPSP 
 54.8     1:05.049     1:05.049          16           0    4065610 MPI_Finalize() 
 37.9           19       45,002        6416       38496       7014 ADI 
 12.4        1,622       14,755        6432       90048       2294 COPY_FACES 
  9.3        5,135       10,980        6416      166816       1711 X_SOLVE 
  9.1       10,788       10,788        6432           0       1677 COMPUTE_RHS 
  7.9        3,559        9,333        6416      166816       1455 Z_SOLVE 
  6.8        3,673        8,021        6416      166816       1250 Y_SOLVE 
  6.3        0.395        7,420          16          80     463810 SETUP_MPI 
  6.2        7,413        7,413          16           0     463313 MPI_Init() 
  5.4        6,367        6,367      121920           0         52 MPI_Waitall() 
  3.3        3,937        3,937       25664           0        153 LHSX 
  3.0        3,540        3,540       25664           0        138 LHSZ 
  2.2        2,647        2,647       25664           0        103 LHSY 
  1.1        1,257        1,257        6416           0        196 ADD 
  0.8          895          895       25664           0         35 TZETAR 
  0.7          352          800          32 3.19488E+06      25026 INITIALIZE 
  0.6          668          668        6416           0        104 TXINVR 
  0.5          609          609 4.33346E+06           0          0 EXACT_SOLUTION 
  0.3          373          373      154080           0          2 MPI_Isend() 
  0.2          128          251          16      876432      15732 EXACT_RHS 
  0.2          232          232       25664           0          9 PINVR 
  0.2          225          225       25664           0          9 NINVR 
  0.1        0.317          105          16          48       6572 VERIFY 
  0.1           91           91      154080           0          1 MPI_Irecv() 
  0.1           29           67          16      262160       4230 ERROR_NORM 
  0.0            9            9          64           0        148 MPI_Bcast() 
  0.0            8            8          16           0        553 ALLOC_SPACE 
  0.0            8            8          16           0        508 LHSINIT 
  0.0            7            7          32           0        235 MPI_Comm_dup() 
  0.0            7            7          32           0        223 MPI_Barrier() 
  0.0            2            2          32           0         67 MPI_Allreduce() 
  0.0        0.657            1          16          16        106 RHS_NORM 
  0.0        0.262        0.262          16           0         16 MPI_Reduce() 
  0.0        0.024        0.024          16           0          2 SET_CONSTANTS 
  0.0        0.013        0.013          16           0          1 MAKE_SET 
  0.0        0.004        0.004          16           0          0 COMPUTE_BUFFER_SIZE 
  0.0        0.004        0.004          16           0          0 MPI_Comm_rank() 
  0.0        0.004        0.004          16           0          0 MPI_Comm_size() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00462        7,416           1           1    7416938 .TAU application
100.0        0.398        7,416           1     419.062    7416933 MPSP 
 54.8        4,065        4,065           1           0    4065610 MPI_Finalize() 
 37.9            1        2,812         401        2406       7014 ADI 
 12.4          101          922         402        5628       2294 COPY_FACES 
  9.3          320          686         401       10426       1711 X_SOLVE 
  9.1          674          674         402           0       1677 COMPUTE_RHS 
  7.9          222          583         401       10426       1455 Z_SOLVE 
  6.8          229          501         401       10426       1250 Y_SOLVE 
  6.3       0.0247          463           1           5     463810 SETUP_MPI 
  6.2          463          463           1           0     463313 MPI_Init() 
  5.4          397          397        7620           0         52 MPI_Waitall() 
  3.3          246          246        1604           0        153 LHSX 
  3.0          221          221        1604           0        138 LHSZ 
  2.2          165          165        1604           0        103 LHSY 
  1.1           78           78         401           0        196 ADD 
  0.8           55           55        1604           0         35 TZETAR 
  0.7           22           50           2      199680      25026 INITIALIZE 
  0.6           41           41         401           0        104 TXINVR 
  0.5           38           38      270841           0          0 EXACT_SOLUTION 
  0.3           23           23        9630           0          2 MPI_Isend() 
  0.2            8           15           1       54777      15732 EXACT_RHS 
  0.2           14           14        1604           0          9 PINVR 
  0.2           14           14        1604           0          9 NINVR 
  0.1       0.0198            6           1           3       6572 VERIFY 
  0.1            5            5        9630           0          1 MPI_Irecv() 
  0.1            1            4           1       16385       4230 ERROR_NORM 
  0.0        0.593        0.593           4           0        148 MPI_Bcast() 
  0.0        0.553        0.553           1           0        553 ALLOC_SPACE 
  0.0        0.508        0.508           1           0        508 LHSINIT 
  0.0        0.471        0.471           2           0        235 MPI_Comm_dup() 
  0.0        0.446        0.446           2           0        223 MPI_Barrier() 
  0.0        0.134        0.134           2           0         67 MPI_Allreduce() 
  0.0       0.0411        0.106           1           1        106 RHS_NORM 
  0.0       0.0164       0.0164           1           0         16 MPI_Reduce() 
  0.0       0.0015       0.0015           1           0          2 SET_CONSTANTS 
  0.0     0.000812     0.000812           1           0          1 MAKE_SET 
  0.0      0.00025      0.00025           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_size() 
  0.0     6.25E-05     6.25E-05      0.0625           0          1 SET_CLASS 
