Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.022     1:33.062           4           4   23265704 .TAU application
100.0            1     1:33.062           4         893   23265698 MPBT 
 72.1            2     1:07.138         804        4020      83505 ADI 
 25.4            8       23,614         804       11256      29371 Y_SOLVE 
 25.0       23,281       23,281           4           0    5820319 MPI_Finalize() 
 23.3       21,669       21,671        1608        1608      13477 Y_SOLVE_CELL 
 22.9            7       21,271         804       11256      26457 Z_SOLVE 
 20.9       19,419       19,421        1608        1608      12078 Z_SOLVE_CELL 
 17.8            5       16,606         804       11256      20654 X_SOLVE 
 15.2       14,136       14,139        1608        1608       8793 X_SOLVE_CELL 
  5.6          211        5,233         808       11312       6477 COPY_FACES 
  5.1        4,709        4,709         808           0       5829 COMPUTE_RHS 
  2.1        1,934        1,934        1608           0       1203 X_BACKSUBSTITUTE 
  1.7        1,555        1,555        1608           0        968 Y_BACKSUBSTITUTE 
  1.6        0.131        1,465           4          20     366468 SETUP_MPI 
  1.6        1,464        1,464           4           0     366131 MPI_Init() 
  1.5        1,381        1,381        1608           0        859 Z_BACKSUBSTITUTE 
  0.9          357          827           8 3.19488E+06     103467 INITIALIZE 
  0.8          779          779        9648           0         81 MPI_Wait() 
  0.7          620          620  4.2412E+06           0          0 EXACT_SOLUTION 
  0.5          436          436         804           0        543 ADD 
  0.3          296          296         808           0        367 MPI_Waitall() 
  0.3          262          262         804           0        327 X_UNPACK_SOLVE_INFO 
  0.2          111          224           4      784176      56132 EXACT_RHS 
  0.1        0.228           93           4          12      23485 VERIFY 
  0.1           63           67         804         804         84 X_SEND_SOLVE_INFO 
  0.1           29           66           4      262148      16679 ERROR_NORM 
  0.1           57           57         804           0         72 Y_UNPACK_SOLVE_INFO 
  0.1           46           46         804           0         58 Z_UNPACK_SOLVE_INFO 
  0.0           42           46         804         804         57 Y_SEND_SOLVE_INFO 
  0.0           40           44         804         804         55 Z_SEND_SOLVE_INFO 
  0.0           33           33        9672           0          3 MPI_Isend() 
  0.0           17           17           4           0       4341 LHSINIT 
