Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0         0.02     1:23.605           4           4   20901334 .TAU application
100.0            2     1:23.605           4        1677   20901328 MPSP 
 51.0            5       42,671        1604        9624      26603 ADI 
 46.0       38,424       38,424           4           0    9606248 MPI_Finalize() 
 14.3          526       11,932        1608       22512       7421 COPY_FACES 
 13.6        3,552       11,331        1604       16040       7064 Z_SOLVE 
 13.1       10,931       10,931        1608           0       6798 COMPUTE_RHS 
 11.0        5,487        9,161        1604       16040       5712 X_SOLVE 
 10.0        3,889        8,369        1604       16040       5218 Y_SOLVE 
  7.8        6,534        6,534        3208           0       2037 LHSZ 
  4.7        3,964        3,964        3208           0       1236 LHSY 
  3.8        3,167        3,167        3208           0        987 LHSX 
  1.6        0.111        1,373           4          20     343460 SETUP_MPI 
  1.6        1,372        1,372           4           0     343184 MPI_Init() 
  1.5        1,250        1,250       11232           0        111 MPI_Waitall() 
  1.2        1,021        1,021        1604           0        637 TXINVR 
  1.2          967          967        3208           0        301 TZETAR 
  1.1          879          879        1604           0        548 ADD 
  1.0          347          796           8 3.19488E+06      99608 INITIALIZE 
  0.7          595          595  4.2412E+06           0          0 EXACT_SOLUTION 
  0.3          223          223        3208           0         70 PINVR 
  0.3          220          220        3208           0         69 NINVR 
  0.3          110          220           4      784176      55064 EXACT_RHS 
  0.1        0.165           97           4          12      24340 VERIFY 
  0.1           29           66           4      262148      16627 ERROR_NORM 
  0.1           60           60       19272           0          3 MPI_Isend() 
  0.0           18           18       19272           0          1 MPI_Irecv() 
  0.0            8            8           4           0       2163 LHSINIT 
  0.0            5            5           4           0       1403 ALLOC_SPACE 
  0.0            2            2           8           0        257 MPI_Barrier() 
  0.0            1            1          16           0         79 MPI_Bcast() 
  0.0        0.765            1           4           4        261 RHS_NORM 
  0.0        0.991        0.991           8           0        124 MPI_Comm_dup() 
  0.0        0.626        0.626           8           0         78 MPI_Allreduce() 
  0.0        0.031        0.031           4           0          8 MPI_Reduce() 
  0.0        0.005        0.005           4           0          1 SET_CONSTANTS 
  0.0        0.002        0.002           4           0          0 COMPUTE_BUFFER_SIZE 
  0.0        0.002        0.002           4           0          0 MAKE_SET 
  0.0        0.001        0.001           4           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           4           0          0 MPI_Comm_size() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.005       20,901           1           1   20901334 .TAU application
100.0        0.653       20,901           1      419.25   20901328 MPSP 
 51.0            1       10,667         401        2406      26603 ADI 
 46.0        9,606        9,606           1           0    9606248 MPI_Finalize() 
 14.3          131        2,983         402        5628       7421 COPY_FACES 
 13.6          888        2,832         401        4010       7064 Z_SOLVE 
 13.1        2,732        2,732         402           0       6798 COMPUTE_RHS 
 11.0        1,371        2,290         401        4010       5712 X_SOLVE 
 10.0          972        2,092         401        4010       5218 Y_SOLVE 
  7.8        1,633        1,633         802           0       2037 LHSZ 
  4.7          991          991         802           0       1236 LHSY 
  3.8          791          791         802           0        987 LHSX 
  1.6       0.0278          343           1           5     343460 SETUP_MPI 
  1.6          343          343           1           0     343184 MPI_Init() 
  1.5          312          312        2808           0        111 MPI_Waitall() 
  1.2          255          255         401           0        637 TXINVR 
  1.2          241          241         802           0        301 TZETAR 
  1.1          219          219         401           0        548 ADD 
  1.0           86          199           2      798720      99608 INITIALIZE 
  0.7          148          148  1.0603E+06           0          0 EXACT_SOLUTION 
  0.3           55           55         802           0         70 PINVR 
  0.3           55           55         802           0         69 NINVR 
  0.3           27           55           1      196044      55064 EXACT_RHS 
  0.1       0.0413           24           1           3      24340 VERIFY 
  0.1            7           16           1       65537      16627 ERROR_NORM 
  0.1           15           15        4818           0          3 MPI_Isend() 
  0.0            4            4        4818           0          1 MPI_Irecv() 
  0.0            2            2           1           0       2163 LHSINIT 
  0.0            1            1           1           0       1403 ALLOC_SPACE 
  0.0        0.515        0.515           2           0        257 MPI_Barrier() 
  0.0        0.314        0.314           4           0         79 MPI_Bcast() 
  0.0        0.191        0.261           1           1        261 RHS_NORM 
  0.0        0.248        0.248           2           0        124 MPI_Comm_dup() 
  0.0        0.157        0.157           2           0         78 MPI_Allreduce() 
  0.0      0.00775      0.00775           1           0          8 MPI_Reduce() 
  0.0      0.00125      0.00125           1           0          1 SET_CONSTANTS 
  0.0       0.0005       0.0005           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0       0.0005       0.0005           1           0          0 MAKE_SET 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_size() 
  0.0      0.00025      0.00025        0.25           0          1 SET_CLASS 
