Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.136     3:18.945          25          25    7957803 .TAU application
100.0            8     3:18.944          25        5576    7957798 MPBT 
 52.6     1:44.594     1:44.594          25           0    4183798 MPI_Finalize() 
 35.7           15     1:11.099        5025       25125      14149 ADI 
 11.8           58       23,395        5025      251250       4656 Z_SOLVE 
 11.0        0.711       21,909          25         125     876395 SETUP_MPI 
 11.0       21,896       21,896          25           0     875879 MPI_Init() 
  9.7           52       19,350        5025      251250       3851 X_SOLVE 
  9.7           60       19,217        5025      251250       3824 Y_SOLVE 
  9.2       18,316       18,329       25125       25125        730 Z_SOLVE_CELL 
  7.4       14,666       14,678       25125       25125        584 Y_SOLVE_CELL 
  7.0       13,892       13,907       25125       25125        554 X_SOLVE_CELL 
  4.2        1,118        8,405        5050       70700       1664 COPY_FACES 
  4.0        7,968        7,968      241200           0         33 MPI_Wait() 
  2.4        4,818        4,818        5050           0        954 COMPUTE_RHS 
  1.2        2,323        2,323        5050           0        460 MPI_Waitall() 
  0.9        1,721        1,721       25125           0         69 X_BACKSUBSTITUTE 
  0.8        1,497        1,497       25125           0         60 Z_BACKSUBSTITUTE 
  0.7        1,376        1,376       25125           0         55 Y_BACKSUBSTITUTE 
  0.5          899          899       20100           0         45 X_UNPACK_SOLVE_INFO 
  0.4          362          840          50 3.19488E+06      16802 INITIALIZE 
  0.4          757          757        5025           0        151 ADD 
  0.3          652          652 4.37958E+06           0          0 EXACT_SOLUTION 
  0.2          380          380      150900           0          3 MPI_Isend() 
  0.2          324          324       20100           0         16 Y_UNPACK_SOLVE_INFO 
  0.1          142          280          25      922560      11205 EXACT_RHS 
  0.1          222          222       20100           0         11 Z_UNPACK_SOLVE_INFO 
  0.1          133          189       20100       20100          9 X_SEND_SOLVE_INFO 
  0.1           97          145       20100       20100          7 Y_SEND_SOLVE_INFO 
