Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.021       28,810           4           4    7202640 .TAU application
100.0            1       28,810           4         333    7202635 MPBT 
 86.7       24,979       24,979           4           0    6244979 MPI_Finalize() 
 12.7        0.126        3,647           4          20     911999 SETUP_MPI 
 12.7        3,646        3,646           4           0     911664 MPI_Init() 
  0.6        0.345          164         244        1220        673 ADI 
  0.2        0.924           59         244        3416        246 Y_SOLVE 
  0.2         0.91           46         244        3416        191 Z_SOLVE 
  0.1           42           42        2928           0         14 MPI_Wait() 
  0.1        0.826           35         244        3416        147 X_SOLVE 
  0.1           28           28         488         488         59 Z_SOLVE_CELL 
  0.1           28           28         488         488         59 Y_SOLVE_CELL 
  0.1           28           28         488         488         58 X_SOLVE_CELL 
  0.1            2           21         248        3472         86 COPY_FACES 
  0.0           11           11         248           0         47 COMPUTE_RHS 
  0.0            3            8           8       22464       1041 INITIALIZE 
  0.0            5            5       28992           0          0 EXACT_SOLUTION 
  0.0            5            5         248           0         20 MPI_Waitall() 
  0.0            3            3        2952           0          1 MPI_Isend() 
  0.0            2            2          24           0        105 MPI_Bcast() 
  0.0            2            2           8           0        277 MPI_Barrier() 
  0.0            1            1           4        4800        496 EXACT_RHS 
  0.0            1            1        2952           0          1 MPI_Irecv() 
  0.0            1            1         488           0          3 Y_BACKSUBSTITUTE 
  0.0            1            1         488           0          3 X_BACKSUBSTITUTE 
  0.0            1            1         488           0          3 Z_BACKSUBSTITUTE 
  0.0        0.152            1           4          12        364 VERIFY 
  0.0            1            1           8           0        151 MPI_Comm_dup() 
  0.0        0.532        0.944         244         244          4 X_SEND_SOLVE_INFO 
  0.0        0.308        0.918           4        1732        230 ERROR_NORM 
  0.0         0.43        0.836         244         244          3 Z_SEND_SOLVE_INFO 
  0.0        0.449        0.809         244         244          3 Y_SEND_SOLVE_INFO 
  0.0        0.726        0.726         244           0          3 X_UNPACK_SOLVE_INFO 
  0.0        0.585        0.585         244           0          2 Y_UNPACK_SOLVE_INFO 
  0.0        0.547        0.547         244           0          2 Z_UNPACK_SOLVE_INFO 
  0.0        0.508        0.508        1464           0          0 LHSABINIT 
  0.0        0.462        0.462         244           0          2 ADD 
  0.0        0.185        0.435         244         244          2 X_SEND_BACKSUB_INFO 
  0.0        0.189        0.433         244         244          2 Z_SEND_BACKSUB_INFO 
  0.0        0.145        0.403         244         244          2 Y_SEND_BACKSUB_INFO 
  0.0        0.374        0.374           4           0         94 LHSINIT 
  0.0        0.361        0.361           8           0         45 MPI_Allreduce() 
  0.0        0.087        0.327         244         244          1 Y_RECEIVE_SOLVE_INFO 
  0.0        0.097        0.221         244         244          1 X_RECEIVE_SOLVE_INFO 
  0.0        0.097        0.219         244         244          1 Z_RECEIVE_SOLVE_INFO 
  0.0        0.109        0.207         244         244          1 X_RECEIVE_BACKSUB_INFO 
  0.0        0.096        0.207         244         244          1 Y_RECEIVE_BACKSUB_INFO 
  0.0        0.102        0.196         244         244          1 Z_RECEIVE_BACKSUB_INFO 
  0.0        0.183        0.183           4           0         46 ALLOC_SPACE 
  0.0        0.006        0.104           4           4         26 RHS_NORM 
  0.0        0.082        0.082         244           0          0 Z_UNPACK_BACKSUB_INFO 
  0.0        0.077        0.077         244           0          0 Y_UNPACK_BACKSUB_INFO 
  0.0        0.076        0.076         244           0          0 X_UNPACK_BACKSUB_INFO 
  0.0        0.022        0.022           4           0          6 MPI_Reduce() 
  0.0        0.004        0.004           4           0          1 SET_CONSTANTS 
  0.0        0.002        0.002           4           0          0 COMPUTE_BUFFER_SIZE 
  0.0        0.002        0.002           4           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           4           0          0 SETUP_BTIO 
  0.0            0            0           4           0          0 BTIO_CLEANUP 
  0.0            0            0           4           0          0 MAKE_SET 
  0.0            0            0           4           0          0 MPI_Comm_size() 
  0.0            0            0           1           0          0 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00525        7,202           1           1    7202640 .TAU application
100.0         0.33        7,202           1       83.25    7202635 MPBT 
 86.7        6,244        6,244           1           0    6244979 MPI_Finalize() 
 12.7       0.0315          911           1           5     911999 SETUP_MPI 
 12.7          911          911           1           0     911664 MPI_Init() 
  0.6       0.0862           41          61         305        673 ADI 
  0.2        0.231           14          61         854        246 Y_SOLVE 
  0.2        0.228           11          61         854        191 Z_SOLVE 
  0.1           10           10         732           0         14 MPI_Wait() 
  0.1        0.206            8          61         854        147 X_SOLVE 
  0.1            7            7         122         122         59 Z_SOLVE_CELL 
  0.1            7            7         122         122         59 Y_SOLVE_CELL 
  0.1            7            7         122         122         58 X_SOLVE_CELL 
  0.1        0.569            5          62         868         86 COPY_FACES 
  0.0            2            2          62           0         47 COMPUTE_RHS 
  0.0        0.974            2           2        5616       1041 INITIALIZE 
  0.0            1            1        7248           0          0 EXACT_SOLUTION 
  0.0            1            1          62           0         20 MPI_Waitall() 
  0.0        0.899        0.899         738           0          1 MPI_Isend() 
  0.0        0.628        0.628           6           0        105 MPI_Bcast() 
  0.0        0.555        0.555           2           0        277 MPI_Barrier() 
  0.0        0.256        0.496           1        1200        496 EXACT_RHS 
  0.0        0.384        0.384         738           0          1 MPI_Irecv() 
  0.0        0.382        0.382         122           0          3 Y_BACKSUBSTITUTE 
  0.0        0.378        0.378         122           0          3 X_BACKSUBSTITUTE 
  0.0         0.37         0.37         122           0          3 Z_BACKSUBSTITUTE 
  0.0        0.038        0.364           1           3        364 VERIFY 
  0.0        0.303        0.303           2           0        151 MPI_Comm_dup() 
  0.0        0.133        0.236          61          61          4 X_SEND_SOLVE_INFO 
  0.0        0.077         0.23           1         433        230 ERROR_NORM 
  0.0        0.107        0.209          61          61          3 Z_SEND_SOLVE_INFO 
  0.0        0.112        0.202          61          61          3 Y_SEND_SOLVE_INFO 
  0.0        0.181        0.181          61           0          3 X_UNPACK_SOLVE_INFO 
  0.0        0.146        0.146          61           0          2 Y_UNPACK_SOLVE_INFO 
  0.0        0.137        0.137          61           0          2 Z_UNPACK_SOLVE_INFO 
  0.0        0.127        0.127         366           0          0 LHSABINIT 
  0.0        0.116        0.116          61           0          2 ADD 
  0.0       0.0462        0.109          61          61          2 X_SEND_BACKSUB_INFO 
