Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.006       10,837           1           1   10837643 .TAU application
100.0            1       10,837           1         224   10837637 MPBT 
 74.3        8,055        8,055           1           0    8055672 MPI_Finalize() 
 20.2        0.249        2,186         201        1005      10876 ADI 
  6.4        0.248          688         201         402       3426 Z_SOLVE 
  6.3        0.219          679         201         402       3380 Y_SOLVE 
  6.1          662          662         201         201       3295 Z_SOLVE_CELL 
  6.0          650          651         201         201       3239 Y_SOLVE_CELL 
  5.9        0.156          639         201         402       3184 X_SOLVE 
  5.6          607          607         201         201       3023 X_SOLVE_CELL 
  4.9         0.03          535           1           5     535682 SETUP_MPI 
  4.9          535          535           1           0     535555 MPI_Init() 
  1.6        0.083          170         202         202        845 COPY_FACES 
  1.6          170          170         202           0        844 COMPUTE_RHS 
  0.4           18           43           2      172800      21584 INITIALIZE 
  0.3           32           32         201           0        159 X_BACKSUBSTITUTE 
  0.3           31           31      221472           0          0 EXACT_SOLUTION 
  0.3           28           28         201           0        140 Y_BACKSUBSTITUTE 
  0.2           26           26         201           0        130 Z_BACKSUBSTITUTE 
  0.1            5            9           1       34848       9987 EXACT_RHS 
  0.1            8            8         201           0         41 ADD 
  0.0        0.201            4           1           3       4672 VERIFY 
  0.0            1            3           1       13825       3598 ERROR_NORM 
  0.0            1            1           1           0       1189 LHSINIT 
  0.0        0.419        0.419         603           0          1 LHSABINIT 
  0.0        0.095        0.095           2           0         48 MPI_Comm_dup() 
  0.0        0.054        0.054           1           0         54 ALLOC_SPACE 
  0.0        0.026        0.027           1           1         27 RHS_NORM 
  0.0        0.015        0.015           2           0          8 MPI_Allreduce() 
  0.0        0.007        0.007           6           0          1 MPI_Bcast() 
  0.0        0.004        0.004           1           0          4 MPI_Reduce() 
  0.0        0.003        0.003           2           0          2 MPI_Barrier() 
  0.0        0.001        0.001           1           0          1 MAKE_SET 
  0.0        0.001        0.001           1           0          1 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 MPI_Comm_size() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 
  0.0        0.001        0.001           1           0          1 SET_CONSTANTS 
  0.0            0            0           1           0          0 BTIO_CLEANUP 
  0.0            0            0           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0            0            0           1           0          0 SETUP_BTIO 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.006       10,837           1           1   10837643 .TAU application
100.0            1       10,837           1         224   10837637 MPBT 
 74.3        8,055        8,055           1           0    8055672 MPI_Finalize() 
 20.2        0.249        2,186         201        1005      10876 ADI 
  6.4        0.248          688         201         402       3426 Z_SOLVE 
  6.3        0.219          679         201         402       3380 Y_SOLVE 
  6.1          662          662         201         201       3295 Z_SOLVE_CELL 
  6.0          650          651         201         201       3239 Y_SOLVE_CELL 
  5.9        0.156          639         201         402       3184 X_SOLVE 
  5.6          607          607         201         201       3023 X_SOLVE_CELL 
  4.9         0.03          535           1           5     535682 SETUP_MPI 
  4.9          535          535           1           0     535555 MPI_Init() 
  1.6        0.083          170         202         202        845 COPY_FACES 
  1.6          170          170         202           0        844 COMPUTE_RHS 
  0.4           18           43           2      172800      21584 INITIALIZE 
  0.3           32           32         201           0        159 X_BACKSUBSTITUTE 
  0.3           31           31      221472           0          0 EXACT_SOLUTION 
  0.3           28           28         201           0        140 Y_BACKSUBSTITUTE 
  0.2           26           26         201           0        130 Z_BACKSUBSTITUTE 
  0.1            5            9           1       34848       9987 EXACT_RHS 
  0.1            8            8         201           0         41 ADD 
  0.0        0.201            4           1           3       4672 VERIFY 
  0.0            1            3           1       13825       3598 ERROR_NORM 
  0.0            1            1           1           0       1189 LHSINIT 
  0.0        0.419        0.419         603           0          1 LHSABINIT 
  0.0        0.095        0.095           2           0         48 MPI_Comm_dup() 
  0.0        0.054        0.054           1           0         54 ALLOC_SPACE 
  0.0        0.026        0.027           1           1         27 RHS_NORM 
  0.0        0.015        0.015           2           0          8 MPI_Allreduce() 
  0.0        0.007        0.007           6           0          1 MPI_Bcast() 
  0.0        0.004        0.004           1           0          4 MPI_Reduce() 
  0.0        0.003        0.003           2           0          2 MPI_Barrier() 
  0.0        0.001        0.001           1           0          1 MAKE_SET 
  0.0        0.001        0.001           1           0          1 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 MPI_Comm_size() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 
  0.0        0.001        0.001           1           0          1 SET_CONSTANTS 
  0.0            0            0           1           0          0 BTIO_CLEANUP 
  0.0            0            0           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0            0            0           1           0          0 SETUP_BTIO 
