Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.273       50,113          32          32    1566038 .TAU application
100.0            7       50,112          32        5376    1566030 CG 
 45.3       22,721       22,721          32           0     710042 MPI_Finalize() 
 42.5            2       21,295          32         128     665486 INITIALIZE_MPI 
 42.4       21,266       21,266          32           0     664583 MPI_Init() 
  7.2        1,289        3,604         512      399360       7040 CONJ_GRAD 
  4.9          237        2,470          32      896032      77199 MAKEA 
  4.2        1,078        2,087      448000  5.7711E+06          5 SPRNVC 
  2.7        1,332        1,332      134656           0         10 MPI_Wait() 
  2.0        1,009        1,009  5.7711E+06           0          0 ICNVRT 
  1.9          932          932      134656           0          7 MPI_Send() 
  0.2           85           85      448000           0          0 VECSET 
  0.1           59           59          32           0       1872 SPARSE 
  0.1           53           53      134656           0          0 MPI_Irecv() 
  0.1           26           26          32           0        833 MPI_Bcast() 
  0.0            6            6          32           0        210 MPI_Barrier() 
  0.0            1            1          32           0         61 ALLOC_SPACE 
  0.0            1            1          32           0         52 MPI_Reduce() 
  0.0        0.016        0.016          32           0          0 MPI_Comm_size() 
  0.0        0.013        0.013          32           0          0 SETUP_PROC_INFO 
  0.0        0.013        0.013          32           0          0 SETUP_SUBMATRIX_INFO 
  0.0        0.009        0.009          32           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00853        1,566           1           1    1566038 .TAU application
100.0        0.225        1,566           1         168    1566030 CG 
 45.3          710          710           1           0     710042 MPI_Finalize() 
 42.5       0.0687          665           1           4     665486 INITIALIZE_MPI 
 42.4          664          664           1           0     664583 MPI_Init() 
  7.2           40          112          16       12480       7040 CONJ_GRAD 
  4.9            7           77           1       28001      77199 MAKEA 
  4.2           33           65       14000      180347          5 SPRNVC 
  2.7           41           41        4208           0         10 MPI_Wait() 
  2.0           31           31      180347           0          0 ICNVRT 
  1.9           29           29        4208           0          7 MPI_Send() 
  0.2            2            2       14000           0          0 VECSET 
  0.1            1            1           1           0       1872 SPARSE 
  0.1            1            1        4208           0          0 MPI_Irecv() 
  0.1        0.833        0.833           1           0        833 MPI_Bcast() 
  0.0         0.21         0.21           1           0        210 MPI_Barrier() 
  0.0       0.0606       0.0606           1           0         61 ALLOC_SPACE 
  0.0        0.052        0.052           1           0         52 MPI_Reduce() 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0     0.000406     0.000406           1           0          0 SETUP_PROC_INFO 
  0.0     0.000406     0.000406           1           0          0 SETUP_SUBMATRIX_INFO 
  0.0     0.000281     0.000281           1           0          0 MPI_Comm_rank() 
