Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.059     2:10.266           8           8   16283374 .TAU application
100.0           22     2:10.266           8        1344   16283367 CG 
 80.1     1:42.512     1:44.360         248       99840     420809 CONJ_GRAD 
 14.6       19,005       19,005           8           0    2375702 MPI_Finalize() 
  3.4        0.801        4,482           8          32     560259 INITIALIZE_MPI 
  3.4        4,477        4,477           8           0     559656 MPI_Init() 
  1.8          236        2,387           8      468008     298378 MAKEA 
  1.1        1,395        1,395       33624           0         41 MPI_Send() 
  1.0          648        1,250      234000  4.4941E+06          5 SPRNVC 
  0.7          864          864           8           0     108090 SPARSE 
  0.5          601          601  4.4941E+06           0          0 ICNVRT 
  0.3          426          426       33624           0         13 MPI_Wait() 
  0.0           35           35      234000           0          0 VECSET 
  0.0           27           27       33624           0          1 MPI_Irecv() 
  0.0            7            7           8           0        893 ALLOC_SPACE 
  0.0            4            4           8           0        503 MPI_Bcast() 
  0.0        0.676        0.676           8           0         84 MPI_Barrier() 
  0.0        0.311        0.311           8           0         39 MPI_Reduce() 
  0.0        0.008        0.008           8           0          1 SETUP_PROC_INFO 
  0.0        0.003        0.003           8           0          0 MPI_Comm_size() 
  0.0        0.002        0.002           8           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           8           0          0 SETUP_SUBMATRIX_INFO 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00737       16,283           1           1   16283374 .TAU application
100.0            2       16,283           1         168   16283367 CG 
 80.1       12,814       13,045          31       12480     420809 CONJ_GRAD 
 14.6        2,375        2,375           1           0    2375702 MPI_Finalize() 
  3.4          0.1          560           1           4     560259 INITIALIZE_MPI 
  3.4          559          559           1           0     559656 MPI_Init() 
  1.8           29          298           1       58501     298378 MAKEA 
  1.1          174          174        4203           0         41 MPI_Send() 
  1.0           81          156       29250      561762          5 SPRNVC 
  0.7          108          108           1           0     108090 SPARSE 
  0.5           75           75      561762           0          0 ICNVRT 
  0.3           53           53        4203           0         13 MPI_Wait() 
  0.0            4            4       29250           0          0 VECSET 
  0.0            3            3        4203           0          1 MPI_Irecv() 
  0.0        0.893        0.893           1           0        893 ALLOC_SPACE 
  0.0        0.503        0.503           1           0        503 MPI_Bcast() 
  0.0       0.0845       0.0845           1           0         84 MPI_Barrier() 
  0.0       0.0389       0.0389           1           0         39 MPI_Reduce() 
  0.0        0.001        0.001           1           0          1 SETUP_PROC_INFO 
  0.0     0.000375     0.000375           1           0          0 MPI_Comm_size() 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
  0.0     0.000125     0.000125           1           0          0 SETUP_SUBMATRIX_INFO 
