Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.084       11,287           8           8    1410997 .TAU application
100.0            2       11,287           8         960    1410986 CG 
 46.5        0.941        5,253           8          32     656689 INITIALIZE_MPI 
 46.5        5,247        5,247           8           0     655994 MPI_Init() 
 46.2        5,209        5,209           8           0     651182 MPI_Finalize() 
  5.3          305          602         128       69888       4709 CONJ_GRAD 
  2.1          241          241       23552           0         10 MPI_Wait() 
  1.9           29          217           8      112008      27224 MAKEA 
  1.4           84          163       56000      523872          3 SPRNVC 
  0.7           79           79      523872           0          0 ICNVRT 
  0.4           47           47       23552           0          2 MPI_Send() 
  0.1           16           16           8           0       2012 SPARSE 
  0.1            8            8       56000           0          0 VECSET 
  0.1            8            8       23552           0          0 MPI_Irecv() 
  0.0            4            4           8           0        577 MPI_Bcast() 
  0.0            1            1           8           0        129 MPI_Barrier() 
  0.0        0.425        0.425           8           0         53 ALLOC_SPACE 
  0.0        0.391        0.391           8           0         49 MPI_Reduce() 
  0.0        0.005        0.005           8           0          1 SETUP_SUBMATRIX_INFO 
  0.0        0.004        0.004           8           0          0 MPI_Comm_rank() 
  0.0        0.004        0.004           8           0          0 MPI_Comm_size() 
  0.0        0.003        0.003           8           0          0 SETUP_PROC_INFO 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0105        1,410           1           1    1410997 .TAU application
100.0        0.281        1,410           1         120    1410986 CG 
 46.5        0.118          656           1           4     656689 INITIALIZE_MPI 
 46.5          655          655           1           0     655994 MPI_Init() 
 46.2          651          651           1           0     651182 MPI_Finalize() 
  5.3           38           75          16        8736       4709 CONJ_GRAD 
  2.1           30           30        2944           0         10 MPI_Wait() 
  1.9            3           27           1       14001      27224 MAKEA 
  1.4           10           20        7000       65484          3 SPRNVC 
  0.7            9            9       65484           0          0 ICNVRT 
  0.4            5            5        2944           0          2 MPI_Send() 
  0.1            2            2           1           0       2012 SPARSE 
  0.1            1            1        7000           0          0 VECSET 
  0.1            1            1        2944           0          0 MPI_Irecv() 
  0.0        0.577        0.577           1           0        577 MPI_Bcast() 
  0.0        0.129        0.129           1           0        129 MPI_Barrier() 
  0.0       0.0531       0.0531           1           0         53 ALLOC_SPACE 
  0.0       0.0489       0.0489           1           0         49 MPI_Reduce() 
  0.0     0.000625     0.000625           1           0          1 SETUP_SUBMATRIX_INFO 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_rank() 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0     0.000375     0.000375           1           0          0 SETUP_PROC_INFO 
