Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0         0.19     6:35.533          32          32   12360422 .TAU application
100.0            4     6:35.533          32        2304   12360416 FT 
 83.9            2     5:31.717         704        2816     471190 FFT 
 41.3       10,962     2:43.491 1.08134E+06  9.7321E+06        151 CFFTZ 
 38.6     2:32.529     2:32.529  9.7321E+06           0         16 FFTZ2 
 34.6       28,415     2:16.994        1408      722304      97297 CFFTS1 
 25.5            1     1:41.019         640        1920     157843 TRANSPOSE_X_YZ 
 18.6       18,508     1:13.421         704      361152     104292 CFFTS2 
 17.1            1     1:07.737         704         704      96218 TRANSPOSE2_GLOBAL 
 17.1     1:07.735     1:07.735         704           0      96216 MPI_Alltoall() 
  9.6       38,030       38,030         704           0      54020 TRANSPOSE2_LOCAL 
  5.1        0.791       20,280          64         192     316877 TRANSPOSE_XY_Z 
  4.3            2       17,127          32         353     535219 SETUP 
  4.3       16,964       16,964          32           0     530131 MPI_Init() 
  4.1       16,199       16,199         640           0      25312 EVOLVE 
  4.0       15,734       15,734          32           0     491688 MPI_Finalize() 
  3.9       15,529       15,529         704           0      22058 TRANSPOSE2_FINISH 
  2.8       11,090       11,090          64           0     173291 COMPUTE_INDEXMAP 
  0.5            4        2,002         640         640       3129 CHECKSUM 
  0.5        1,998        1,998         640           0       3122 MPI_Reduce() 
  0.3        1,314        1,314          64         128      20532 COMPUTE_INITIAL_CONDITIONS 
  0.1          339          339          32           0      10596 MPI_Barrier() 
  0.0           71           71          64           0       1112 MPI_Comm_split() 
  0.0           54           54          32           0       1709 ALLOC_SPACE 
  0.0           34           34         160           0        213 MPI_Bcast() 
  0.0            4            4          64          64         65 FFT_INIT 
  0.0         0.53         0.53        2176           0          0 ILOG2 
  0.0        0.045        0.045         128           0          0 IPOW46 
  0.0        0.018        0.018          32           0          1 VERIFY 
  0.0        0.013        0.013          32           0          0 MPI_Comm_size() 
  0.0        0.006        0.006          32           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00594       12,360           1           1   12360422 .TAU application
100.0        0.136       12,360           1          72   12360416 FT 
 83.9       0.0808       10,366          22          88     471190 FFT 
 41.3          342        5,109       33792      304128        151 CFFTZ 
 38.6        4,766        4,766      304128           0         16 FFTZ2 
 34.6          887        4,281          44       22572      97297 CFFTS1 
 25.5       0.0518        3,156          20          60     157843 TRANSPOSE_X_YZ 
 18.6          578        2,294          22       11286     104292 CFFTS2 
 17.1       0.0555        2,116          22          22      96218 TRANSPOSE2_GLOBAL 
 17.1        2,116        2,116          22           0      96216 MPI_Alltoall() 
  9.6        1,188        1,188          22           0      54020 TRANSPOSE2_LOCAL 
  5.1       0.0247          633           2           6     316877 TRANSPOSE_XY_Z 
  4.3       0.0885          535           1     11.0312     535219 SETUP 
  4.3          530          530           1           0     530131 MPI_Init() 
  4.1          506          506          20           0      25312 EVOLVE 
  4.0          491          491           1           0     491688 MPI_Finalize() 
  3.9          485          485          22           0      22058 TRANSPOSE2_FINISH 
  2.8          346          346           2           0     173291 COMPUTE_INDEXMAP 
  0.5         0.14           62          20          20       3129 CHECKSUM 
  0.5           62           62          20           0       3122 MPI_Reduce() 
  0.3           41           41           2           4      20532 COMPUTE_INITIAL_CONDITIONS 
  0.1           10           10           1           0      10596 MPI_Barrier() 
  0.0            2            2           2           0       1112 MPI_Comm_split() 
  0.0            1            1           1           0       1709 ALLOC_SPACE 
  0.0            1            1           5           0        213 MPI_Bcast() 
  0.0        0.129         0.13           2           2         65 FFT_INIT 
  0.0       0.0166       0.0166          68           0          0 ILOG2 
  0.0      0.00141      0.00141           4           0          0 IPOW46 
  0.0     0.000562     0.000562           1           0          1 VERIFY 
  0.0     0.000406     0.000406           1           0          0 MPI_Comm_size() 
  0.0     0.000188     0.000188           1           0          0 MPI_Comm_rank() 
  0.0     3.13E-05     3.13E-05     0.03125           0          1 SET_CLASS 
