Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.013       18,632           2           2    9316396 .TAU application
100.0        0.216       18,632           2          35    9316390 APPLU 
 93.4       17,411       17,411           2           0    8705780 MPI_Finalize() 
  6.3        0.117        1,168           2           6     584120 INIT_COMM 
  6.3        1,168        1,168           2           0     584062 MPI_Init() 
  0.2            5           46           4       45002      11584 SSOR 
  0.0            6            9         106         212         86 RHS 
  0.0            6            6       10200           0          1 JACLD 
  0.0            6            6       10200           0          1 JACU 
  0.0            6            6       10200           0          1 BLTS 
  0.0            5            5       10200           0          1 BUTS 
  0.0        0.887            5        4080        2040          1 EXCHANGE_1 
  0.0            4            4        1020           0          4 MPI_Recv() 
  0.0        0.485            3         216         324         15 EXCHANGE_3 
  0.0            1            3           4       12000        772 SETIV 
  0.0            2            2       14728           0          0 EXACT 
  0.0            1            1         111           0         17 MPI_Wait() 
  0.0        0.592            1           2           3        812 READ_INPUT 
  0.0            1            1        1131           0          1 MPI_Send() 
  0.0        0.018            1           2          20        515 BCAST_INPUTS 
  0.0            1            1          20           0         51 MPI_Bcast() 
  0.0        0.363        0.683           2           4        342 ERHS 
  0.0        0.186        0.515           4        1728        129 SETBV 
  0.0        0.116        0.269           2        1002        134 ERROR 
  0.0        0.149        0.149           1           0        149 VERIFY 
  0.0        0.111        0.111          20           0          6 MPI_Allreduce() 
  0.0        0.023        0.099           8           8         12 L2NORM 
  0.0        0.048        0.048           2           0         24 ALLOC_SPACE 
  0.0        0.045        0.045         111           0          0 MPI_Irecv() 
  0.0         0.02        0.042           2          14         21 PINTGR 
  0.0        0.009        0.009           4           0          2 MPI_Barrier() 
  0.0        0.001        0.004           2           3          2 EXCHANGE_4 
  0.0        0.001        0.004           4           6          1 EXCHANGE_5 
  0.0        0.003        0.003           2           2          2 PROC_GRID 
  0.0        0.002        0.002           2           0          1 NEIGHBORS 
  0.0        0.002        0.002           2           0          1 SETCOEFF 
  0.0        0.001        0.001           1           0          1 SET_CLASS 
  0.0        0.001        0.001           2           0          0 SUBDOMAIN 
  0.0            0            0           2           0          0 EXCHANGE_6 
  0.0            0            0           2           0          0 ISQRT2 
  0.0            0            0           2           0          0 MPI_Comm_rank() 
  0.0            0            0           2           0          0 MPI_Comm_size() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0       0.0065        9,316           1           1    9316396 .TAU application
100.0        0.108        9,316           1        17.5    9316390 APPLU 
 93.4        8,705        8,705           1           0    8705780 MPI_Finalize() 
  6.3       0.0585          584           1           3     584120 INIT_COMM 
  6.3          584          584           1           0     584062 MPI_Init() 
  0.2            2           23           2       22501      11584 SSOR 
  0.0            3            4          53         106         86 RHS 
  0.0            3            3        5100           0          1 JACLD 
  0.0            3            3        5100           0          1 JACU 
  0.0            3            3        5100           0          1 BLTS 
  0.0            2            2        5100           0          1 BUTS 
  0.0        0.444            2        2040        1020          1 EXCHANGE_1 
  0.0            2            2         510           0          4 MPI_Recv() 
  0.0        0.242            1         108         162         15 EXCHANGE_3 
  0.0        0.633            1           2        6000        772 SETIV 
  0.0            1            1        7364           0          0 EXACT 
  0.0        0.971        0.971        55.5           0         17 MPI_Wait() 
  0.0        0.296        0.811           1         1.5        812 READ_INPUT 
  0.0        0.763        0.763       565.5           0          1 MPI_Send() 
  0.0        0.009        0.515           1          10        515 BCAST_INPUTS 
  0.0        0.506        0.506          10           0         51 MPI_Bcast() 
  0.0        0.181        0.342           1           2        342 ERHS 
  0.0        0.093        0.258           2         864        129 SETBV 
  0.0        0.058        0.135           1         501        134 ERROR 
  0.0       0.0745       0.0745         0.5           0        149 VERIFY 
  0.0       0.0555       0.0555          10           0          6 MPI_Allreduce() 
  0.0       0.0115       0.0495           4           4         12 L2NORM 
  0.0        0.024        0.024           1           0         24 ALLOC_SPACE 
  0.0       0.0225       0.0225        55.5           0          0 MPI_Irecv() 
  0.0         0.01        0.021           1           7         21 PINTGR 
  0.0       0.0045       0.0045           2           0          2 MPI_Barrier() 
  0.0       0.0005        0.002           1         1.5          2 EXCHANGE_4 
  0.0       0.0005        0.002           2           3          1 EXCHANGE_5 
  0.0       0.0015       0.0015           1           1          2 PROC_GRID 
  0.0        0.001        0.001           1           0          1 NEIGHBORS 
  0.0        0.001        0.001           1           0          1 SETCOEFF 
  0.0       0.0005       0.0005         0.5           0          1 SET_CLASS 
  0.0       0.0005       0.0005           1           0          0 SUBDOMAIN 
  0.0            0            0           1           0          0 EXCHANGE_6 
  0.0            0            0           1           0          0 ISQRT2 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 MPI_Comm_size() 
