Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.007       13,337           1           1   13337721 .TAU application
100.0         0.18       13,337           1          18   13337714 APPLU 
 59.2        7,899        7,899           1           0    7899593 MPI_Finalize() 
 35.7          198        4,761           2 1.19468E+06    2380995 SSOR 
  7.4          991          991         303         606       3274 RHS 
  6.9          921          921      289261           0          3 JACLD 
  6.9          921          921      289261           0          3 JACU 
  6.5          861          861      289261           0          3 BUTS 
  6.5          861          861      289261           0          3 BLTS 
  4.2        0.044          564           1           3     564876 INIT_COMM 
  4.2          564          564           1           0     564831 MPI_Init() 
  0.7           38           92           2      357492      46436 SETIV 
  0.5           61           61      400351           0          0 EXACT 
  0.1            3            7           1       29792       7748 ERROR 
  0.0            5            5       37324           0          0 EXCHANGE_1 
  0.0            5            5           1           2       5116 ERHS 
  0.0            1            4           2       13068       2022 SETBV 
  0.0        0.579        0.595           1           2        595 READ_INPUT 
  0.0         0.49         0.49           1           0        490 ALLOC_SPACE 
  0.0        0.257         0.31           4           4         78 L2NORM 
  0.0        0.295        0.295         608           0          0 EXCHANGE_3 
  0.0        0.157        0.157           1           0        157 VERIFY 
  0.0        0.059        0.059          10           0          6 MPI_Allreduce() 
  0.0        0.049         0.05           1           8         50 PINTGR 
  0.0         0.01        0.016           1          10         16 BCAST_INPUTS 
  0.0        0.006        0.006          10           0          1 MPI_Bcast() 
  0.0        0.003        0.003           2           0          2 MPI_Barrier() 
  0.0        0.002        0.002           1           1          2 PROC_GRID 
  0.0        0.001        0.001           2           0          0 EXCHANGE_5 
  0.0        0.001        0.001           1           0          1 MPI_Comm_size() 
  0.0        0.001        0.001           1           0          1 SUBDOMAIN 
  0.0            0            0           1           0          0 EXCHANGE_4 
  0.0            0            0           2           0          0 EXCHANGE_6 
  0.0            0            0           1           0          0 ISQRT2 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 NEIGHBORS 
  0.0            0            0           1           0          0 SETCOEFF 
  0.0            0            0           1           0          0 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.007       13,337           1           1   13337721 .TAU application
100.0         0.18       13,337           1          18   13337714 APPLU 
 59.2        7,899        7,899           1           0    7899593 MPI_Finalize() 
 35.7          198        4,761           2 1.19468E+06    2380995 SSOR 
  7.4          991          991         303         606       3274 RHS 
  6.9          921          921      289261           0          3 JACLD 
  6.9          921          921      289261           0          3 JACU 
  6.5          861          861      289261           0          3 BUTS 
  6.5          861          861      289261           0          3 BLTS 
  4.2        0.044          564           1           3     564876 INIT_COMM 
  4.2          564          564           1           0     564831 MPI_Init() 
  0.7           38           92           2      357492      46436 SETIV 
  0.5           61           61      400351           0          0 EXACT 
  0.1            3            7           1       29792       7748 ERROR 
  0.0            5            5       37324           0          0 EXCHANGE_1 
  0.0            5            5           1           2       5116 ERHS 
  0.0            1            4           2       13068       2022 SETBV 
  0.0        0.579        0.595           1           2        595 READ_INPUT 
  0.0         0.49         0.49           1           0        490 ALLOC_SPACE 
  0.0        0.257         0.31           4           4         78 L2NORM 
  0.0        0.295        0.295         608           0          0 EXCHANGE_3 
  0.0        0.157        0.157           1           0        157 VERIFY 
  0.0        0.059        0.059          10           0          6 MPI_Allreduce() 
  0.0        0.049         0.05           1           8         50 PINTGR 
  0.0         0.01        0.016           1          10         16 BCAST_INPUTS 
  0.0        0.006        0.006          10           0          1 MPI_Bcast() 
  0.0        0.003        0.003           2           0          2 MPI_Barrier() 
  0.0        0.002        0.002           1           1          2 PROC_GRID 
  0.0        0.001        0.001           2           0          0 EXCHANGE_5 
  0.0        0.001        0.001           1           0          1 MPI_Comm_size() 
  0.0        0.001        0.001           1           0          1 SUBDOMAIN 
  0.0            0            0           1           0          0 EXCHANGE_4 
  0.0            0            0           2           0          0 EXCHANGE_6 
  0.0            0            0           1           0          0 ISQRT2 
  0.0            0            0           1           0          0 MPI_Comm_rank() 
  0.0            0            0           1           0          0 NEIGHBORS 
  0.0            0            0           1           0          0 SETCOEFF 
  0.0            0            0           1           0          0 SET_CLASS 
