Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.039       27,591           4           4    6897889 .TAU application
100.0            1       27,591           4         148    6897879 MG_MPI 
 84.8       23,393       23,393           4           0    5848288 MPI_Finalize() 
  7.9        2,188        2,188           4           0     547181 MPI_Init() 
  4.2        0.445        1,159          20         720      57986 MG3P 
  3.2          739          878         168         168       5227 RESID 
  1.4          289          393         160         160       2460 PSINV 
  1.2            1          320         476        8568        672 COMM3 
  0.8          137          219           8        2544      27420 ZRAN3 
  0.8          147          207         140         140       1481 RPRJ3 
  0.6          176          177        2856        2856         62 READY 
  0.5          140          140         156           0        901 ZERO3 
  0.5          135          135         140         140        968 INTERP 
  0.4           45          102        2856        2856         36 GIVE3 
  0.3           83           85          16          32       5358 NORM2U3 
  0.2           56           56        2856           0         20 MPI_Send() 
  0.1           32           38        2856        2856         13 TAKE3 
  0.0            5            5        2856           0          2 MPI_Wait() 
  0.0            5            5           4           0       1386 ALLOC_SPACE 
  0.0            4            4         352           0         11 MPI_Allreduce() 
  0.0            2            2          28           0         85 MPI_Bcast() 
  0.0            1            1        2856           0          0 MPI_Irecv() 
  0.0            1            1          24           0         55 MPI_Barrier() 
  0.0        0.326        0.326        2168           0          0 BUBBLE 
  0.0        0.097        0.097           4           0         24 MPI_Reduce() 
  0.0        0.044        0.044         140           0          0 COMM3_EX 
  0.0        0.013        0.013          24           0          1 POWER 
  0.0        0.013        0.013           8           0          2 SETUP 
  0.0        0.002        0.002           4           0          0 MPI_Comm_size() 
  0.0        0.001        0.001           4           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00975        6,897           1           1    6897889 .TAU application
100.0        0.408        6,897           1          37    6897879 MG_MPI 
 84.8        5,848        5,848           1           0    5848288 MPI_Finalize() 
  7.9          547          547           1           0     547181 MPI_Init() 
  4.2        0.111          289           5         180      57986 MG3P 
  3.2          184          219          42          42       5227 RESID 
  1.4           72           98          40          40       2460 PSINV 
  1.2        0.337           80         119        2142        672 COMM3 
  0.8           34           54           2         636      27420 ZRAN3 
  0.8           36           51          35          35       1481 RPRJ3 
  0.6           44           44         714         714         62 READY 
  0.5           35           35          39           0        901 ZERO3 
  0.5           33           33          35          35        968 INTERP 
  0.4           11           25         714         714         36 GIVE3 
  0.3           20           21           4           8       5358 NORM2U3 
  0.2           14           14         714           0         20 MPI_Send() 
  0.1            8            9         714         714         13 TAKE3 
  0.0            1            1         714           0          2 MPI_Wait() 
  0.0            1            1           1           0       1386 ALLOC_SPACE 
  0.0            1            1          88           0         11 MPI_Allreduce() 
  0.0        0.592        0.592           7           0         85 MPI_Bcast() 
  0.0        0.331        0.331         714           0          0 MPI_Irecv() 
  0.0        0.329        0.329           6           0         55 MPI_Barrier() 
  0.0       0.0815       0.0815         542           0          0 BUBBLE 
  0.0       0.0243       0.0243           1           0         24 MPI_Reduce() 
  0.0        0.011        0.011          35           0          0 COMM3_EX 
  0.0      0.00325      0.00325           6           0          1 POWER 
  0.0      0.00325      0.00325           2           0          2 SETUP 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
