Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            1     2:59.063         128         128    1398936 .TAU application
100.0           15     2:59.062         128        8832    1398928 MG_MPI 
 46.5     1:23.255     1:23.255         128           0     650432 MPI_Init() 
 44.8     1:20.189     1:20.189         128           0     626483 MPI_Finalize() 
  6.6           38       11,770        2688       96768       4379 MG3P 
  5.1          159        9,074       62336      967824        146 COMM3 
  3.9        2,556        6,915       21760       21760        318 RESID 
  2.5        4,387        4,387      328992           0         13 MPI_Wait() 
  2.4          400        4,320      319584      319584         14 TAKE3 
  2.3        1,327        4,152       21504       21504        193 PSINV 
  1.8          396        3,248      319584      319584         10 GIVE3 
  1.6        2,858        2,858      328992           0          9 MPI_Send() 
  1.2          445        2,214       18816       18816        118 RPRJ3 
  0.8        1,206        1,380      328992      328992          4 READY 
  0.6          463          991       18816       18816         53 INTERP 
  0.4          143          670         256       65274       2620 ZRAN3 
  0.3            8          527       18816       28224         28 COMM3_EX 
  0.3            4          471        9408        9408         50 TAKE3_EX 
  0.2          288          288       28400           0         10 ZERO3 
  0.2          269          269       11264           0         24 MPI_Allreduce() 
  0.1          236          236         768           0        308 MPI_Barrier() 
  0.1           91          191         512        1024        375 NORM2U3 
  0.1          173          173      328992           0          1 MPI_Irecv() 
  0.1          124          124         896           0        139 MPI_Bcast() 
  0.0            4           10        9408        9408          1 GIVE3_EX 
  0.0            9            9       53242           0          0 BUBBLE 
  0.0            3            3         128           0         28 ALLOC_SPACE 
  0.0            1            1         128           0         11 MPI_Reduce() 
  0.0        0.522        0.522         256           0          2 SETUP 
  0.0        0.285        0.285         768           0          0 POWER 
  0.0        0.054        0.054         128           0          0 MPI_Comm_size() 
  0.0        0.034        0.034         128           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00799        1,398           1           1    1398936 .TAU application
100.0        0.122        1,398           1          69    1398928 MG_MPI 
 46.5          650          650           1           0     650432 MPI_Init() 
 44.8          626          626           1           0     626483 MPI_Finalize() 
  6.6        0.301           91          21         756       4379 MG3P 
  5.1            1           70         487     7561.12        146 COMM3 
  3.9           19           54         170         170        318 RESID 
  2.5           34           34     2570.25           0         13 MPI_Wait() 
  2.4            3           33     2496.75     2496.75         14 TAKE3 
  2.3           10           32         168         168        193 PSINV 
  1.8            3           25     2496.75     2496.75         10 GIVE3 
  1.6           22           22     2570.25           0          9 MPI_Send() 
  1.2            3           17         147         147        118 RPRJ3 
  0.8            9           10     2570.25     2570.25          4 READY 
  0.6            3            7         147         147         53 INTERP 
  0.4            1            5           2     509.953       2620 ZRAN3 
  0.3       0.0682            4         147       220.5         28 COMM3_EX 
  0.3       0.0337            3        73.5        73.5         50 TAKE3_EX 
  0.2            2            2     221.875           0         10 ZERO3 
  0.2            2            2          88           0         24 MPI_Allreduce() 
  0.1            1            1           6           0        308 MPI_Barrier() 
  0.1        0.715            1           4           8        375 NORM2U3 
  0.1            1            1     2570.25           0          1 MPI_Irecv() 
  0.1        0.972        0.972           7           0        139 MPI_Bcast() 
  0.0       0.0331       0.0825        73.5        73.5          1 GIVE3_EX 
  0.0       0.0756       0.0756     415.953           0          0 BUBBLE 
  0.0       0.0279       0.0279           1           0         28 ALLOC_SPACE 
  0.0       0.0113       0.0113           1           0         11 MPI_Reduce() 
  0.0      0.00408      0.00408           2           0          2 SETUP 
  0.0      0.00223      0.00223           6           0          0 POWER 
  0.0     0.000422     0.000422           1           0          0 MPI_Comm_size() 
  0.0     0.000266     0.000266           1           0          0 MPI_Comm_rank() 
