Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.062       59,387           8           8    7423440 .TAU application
100.0            2       59,387           8         552    7423432 MG_MPI 
 61.3            3       36,427         168        6888     216830 MG3P 
 42.5       21,878       25,261        1528        1528      16533 RESID 
 20.0        9,692       11,850        1512        1512       7838 PSINV 
 11.3           12        6,687        4400       79200       1520 COMM3 
 10.1        4,961        5,983        1344        1344       4452 RPRJ3 
  8.4        4,959        4,959        1344        1344       3690 INTERP 
  7.5        4,430        4,430           8           0     553799 MPI_Finalize() 
  6.7        1,169        3,991       26400       26400        151 GIVE3 
  4.8        2,821        2,821       26400           0        107 MPI_Send() 
  4.7        2,774        2,774           8           0     346822 MPI_Init() 
  3.8        1,136        2,237          16        5656     139853 ZRAN3 
  2.8        1,665        1,665        1376           0       1210 ZERO3 
  2.8        1,616        1,640       26400       26400         62 READY 
  1.8          921        1,043       26400       26400         40 TAKE3 
  1.2          684          719          32          64      22491 NORM2U3 
  0.7          424          424          48           0       8834 MPI_Barrier() 
  0.2          122          122       26400           0          5 MPI_Wait() 
  0.1           66           66         704           0         94 MPI_Allreduce() 
  0.0           23           23       26400           0          1 MPI_Irecv() 
  0.0           12           12           8           0       1551 ALLOC_SPACE 
  0.0            5            5          56           0        105 MPI_Bcast() 
  0.0        0.872        0.872        4904           0          0 BUBBLE 
  0.0         0.47         0.47        1344           0          0 COMM3_EX 
  0.0        0.094        0.094           8           0         12 MPI_Reduce() 
  0.0        0.034        0.034          16           0          2 SETUP 
  0.0        0.022        0.022          48           0          0 POWER 
  0.0        0.004        0.004           8           0          0 MPI_Comm_size() 
  0.0        0.002        0.002           8           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00775        7,423           1           1    7423440 .TAU application
100.0        0.307        7,423           1          69    7423432 MG_MPI 
 61.3         0.48        4,553          21         861     216830 MG3P 
 42.5        2,734        3,157         191         191      16533 RESID 
 20.0        1,211        1,481         189         189       7838 PSINV 
 11.3            1          835         550        9900       1520 COMM3 
 10.1          620          747         168         168       4452 RPRJ3 
  8.4          619          619         168         168       3690 INTERP 
  7.5          553          553           1           0     553799 MPI_Finalize() 
  6.7          146          498        3300        3300        151 GIVE3 
  4.8          352          352        3300           0        107 MPI_Send() 
  4.7          346          346           1           0     346822 MPI_Init() 
  3.8          142          279           2         707     139853 ZRAN3 
  2.8          208          208         172           0       1210 ZERO3 
  2.8          202          205        3300        3300         62 READY 
  1.8          115          130        3300        3300         40 TAKE3 
  1.2           85           89           4           8      22491 NORM2U3 
  0.7           53           53           6           0       8834 MPI_Barrier() 
  0.2           15           15        3300           0          5 MPI_Wait() 
  0.1            8            8          88           0         94 MPI_Allreduce() 
  0.0            2            2        3300           0          1 MPI_Irecv() 
  0.0            1            1           1           0       1551 ALLOC_SPACE 
  0.0        0.733        0.733           7           0        105 MPI_Bcast() 
  0.0        0.109        0.109         613           0          0 BUBBLE 
  0.0       0.0587       0.0587         168           0          0 COMM3_EX 
  0.0       0.0118       0.0118           1           0         12 MPI_Reduce() 
  0.0      0.00425      0.00425           2           0          2 SETUP 
  0.0      0.00275      0.00275           6           0          0 POWER 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
