Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.069    22:03.982           8           8  165497855 .TAU application
100.0            3    22:03.982           8        1032  165497846 MG_MPI 
 72.1           24    15:55.172         408       18768    2341110 MG3P 
 53.7     9:54.125    11:51.099        4096        4096     173608 RESID 
 24.9     4:31.346     5:29.289        4080        4080      80708 PSINV 
 15.3           53     3:22.365       11864      213552      17057 COMM3 
 10.8       14,935     2:22.984       71184       71184       2009 GIVE3 
 10.0     1:45.389     2:11.990        3672        3672      35945 RPRJ3 
  9.7     2:08.048     2:08.048       71184           0       1799 MPI_Send() 
  8.0     1:45.690     1:45.692        3672        3672      28783 INTERP 
  2.5       33,134       33,390       71184       71184        469 READY 
  2.0       15,410       25,937       71184       71184        364 TAKE3 
  1.5       20,163       20,163        3704           0       5444 ZERO3 
  1.1        9,213       14,728          16        6368     920502 ZRAN3 
  0.8       10,527       10,527       71184           0        148 MPI_Wait() 
  0.4        5,507        5,737          32          64     179303 NORM2U3 
  0.4        4,796        4,796           8           0     599529 MPI_Finalize() 
  0.3        4,381        4,381           8           0     547630 MPI_Init() 
  0.1          723          723          48           0      15073 MPI_Barrier() 
  0.0          256          256       71184           0          4 MPI_Irecv() 
  0.0          233          233         704           0        332 MPI_Allreduce() 
  0.0           11           11           8           0       1423 ALLOC_SPACE 
  0.0            5            5          56           0         89 MPI_Bcast() 
  0.0            1            1        3672           0          1 COMM3_EX 
  0.0            1            1        5616           0          0 BUBBLE 
  0.0        0.097        0.097           8           0         12 MPI_Reduce() 
  0.0         0.04         0.04          16           0          2 SETUP 
  0.0        0.031        0.031          48           0          1 POWER 
  0.0        0.004        0.004           8           0          0 MPI_Comm_size() 
  0.0        0.003        0.003           8           0          0 MPI_Comm_rank() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00863     2:45.497           1           1  165497855 .TAU application
100.0         0.48     2:45.497           1         129  165497846 MG_MPI 
 72.1            3     1:59.396          51        2346    2341110 MG3P 
 53.7     1:14.265     1:28.887         512         512     173608 RESID 
 24.9       33,918       41,161         510         510      80708 PSINV 
 15.3            6       25,295        1483       26694      17057 COMM3 
 10.8        1,866       17,873        8898        8898       2009 GIVE3 
 10.0       13,173       16,498         459         459      35945 RPRJ3 
  9.7       16,006       16,006        8898           0       1799 MPI_Send() 
  8.0       13,211       13,211         459         459      28783 INTERP 
  2.5        4,141        4,173        8898        8898        469 READY 
  2.0        1,926        3,242        8898        8898        364 TAKE3 
  1.5        2,520        2,520         463           0       5444 ZERO3 
  1.1        1,151        1,841           2         796     920502 ZRAN3 
  0.8        1,315        1,315        8898           0        148 MPI_Wait() 
  0.4          688          717           4           8     179303 NORM2U3 
  0.4          599          599           1           0     599529 MPI_Finalize() 
  0.3          547          547           1           0     547630 MPI_Init() 
  0.1           90           90           6           0      15073 MPI_Barrier() 
  0.0           32           32        8898           0          4 MPI_Irecv() 
  0.0           29           29          88           0        332 MPI_Allreduce() 
  0.0            1            1           1           0       1423 ALLOC_SPACE 
  0.0        0.625        0.625           7           0         89 MPI_Bcast() 
  0.0        0.239        0.239         459           0          1 COMM3_EX 
  0.0        0.154        0.154         702           0          0 BUBBLE 
  0.0       0.0121       0.0121           1           0         12 MPI_Reduce() 
  0.0        0.005        0.005           2           0          2 SETUP 
  0.0      0.00387      0.00387           6           0          1 POWER 
  0.0       0.0005       0.0005           1           0          0 MPI_Comm_size() 
  0.0     0.000375     0.000375           1           0          0 MPI_Comm_rank() 
