Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.186     1:33.315          36          36    2592088 .TAU application
100.0           14     1:33.314          36       15085    2592083 MPSP 
 60.1           34       56,087       14436       86616       3885 ADI 
 20.6        3,282       19,249       14472      202608       1330 COPY_FACES 
 19.1       17,805       17,805          36           0     494592 MPI_Finalize() 
 18.8            1       17,559          36         180     487771 SETUP_MPI 
 18.8       17,540       17,540          36           0     487226 MPI_Init() 
 14.3        5,023       13,312       14436      606312        922 X_SOLVE 
 13.2       12,317       12,317      447552           0         28 MPI_Waitall() 
 11.6       10,832       10,832       14472           0        749 COMPUTE_RHS 
 11.6        4,025       10,814       14436      606312        749 Y_SOLVE 
 11.1        4,087       10,363       14436      606312        718 Z_SOLVE 
  5.3        4,977        4,977       86616           0         57 LHSX 
  3.2        3,019        3,019       86616           0         35 LHSZ 
  3.0        2,791        2,791       86616           0         32 LHSY 
  1.8        1,693        1,693       14436           0        117 ADD 
  1.6        1,450        1,450      519912           0          3 MPI_Isend() 
  1.1          471        1,019          72 3.19488E+06      14166 INITIALIZE 
  1.1          998          998       86616           0         12 TZETAR 
  0.8          755          755 4.42571E+06           0          0 EXACT_SOLUTION 
  0.7          664          664       14436           0         46 TXINVR 
  0.4          379          379      519912           0          1 MPI_Irecv() 
  0.4          188          358          36      968688       9947 EXACT_RHS 
  0.3          293          293          72           0       4075 MPI_Barrier() 
  0.3          279          279       86616           0          3 PINVR 
  0.3          272          272       86616           0          3 NINVR 
  0.1        0.365          124          36         108       3457 VERIFY 
  0.1           30           73          36      262180       2035 ERROR_NORM 
  0.0           27           27         144           0        192 MPI_Bcast() 
  0.0           21           21          36           0        598 LHSINIT 
  0.0           18           18          72           0        258 MPI_Comm_dup() 
  0.0           10           10          72           0        148 MPI_Allreduce() 
  0.0         0.64            5          36          36        141 RHS_NORM 
  0.0            2            2          36           0         66 ALLOC_SPACE 
  0.0        0.458        0.458          36           0         13 MPI_Reduce() 
  0.0         0.09         0.09          36           0          2 SET_CONSTANTS 
  0.0        0.023        0.023          36           0          1 MAKE_SET 
  0.0        0.018        0.018          36           0          0 COMPUTE_BUFFER_SIZE 
  0.0        0.011        0.011          36           0          0 MPI_Comm_size() 
  0.0        0.007        0.007          36           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00517        2,592           1           1    2592088 .TAU application
100.0        0.415        2,592           1     419.028    2592083 MPSP 
 60.1        0.967        1,557         401        2406       3885 ADI 
 20.6           91          534         402        5628       1330 COPY_FACES 
 19.1          494          494           1           0     494592 MPI_Finalize() 
 18.8       0.0282          487           1           5     487771 SETUP_MPI 
 18.8          487          487           1           0     487226 MPI_Init() 
 14.3          139          369         401       16842        922 X_SOLVE 
 13.2          342          342       12432           0         28 MPI_Waitall() 
 11.6          300          300         402           0        749 COMPUTE_RHS 
 11.6          111          300         401       16842        749 Y_SOLVE 
 11.1          113          287         401       16842        718 Z_SOLVE 
  5.3          138          138        2406           0         57 LHSX 
  3.2           83           83        2406           0         35 LHSZ 
  3.0           77           77        2406           0         32 LHSY 
  1.8           47           47         401           0        117 ADD 
  1.6           40           40       14442           0          3 MPI_Isend() 
  1.1           13           28           2     88746.7      14166 INITIALIZE 
  1.1           27           27        2406           0         12 TZETAR 
  0.8           20           20      122936           0          0 EXACT_SOLUTION 
  0.7           18           18         401           0         46 TXINVR 
  0.4           10           10       14442           0          1 MPI_Irecv() 
  0.4            5            9           1       26908       9947 EXACT_RHS 
  0.3            8            8           2           0       4075 MPI_Barrier() 
  0.3            7            7        2406           0          3 PINVR 
  0.3            7            7        2406           0          3 NINVR 
  0.1       0.0101            3           1           3       3457 VERIFY 
  0.1        0.834            2           1     7282.78       2035 ERROR_NORM 
  0.0        0.766        0.766           4           0        192 MPI_Bcast() 
  0.0        0.598        0.598           1           0        598 LHSINIT 
  0.0        0.516        0.516           2           0        258 MPI_Comm_dup() 
  0.0        0.296        0.296           2           0        148 MPI_Allreduce() 
  0.0       0.0178        0.141           1           1        141 RHS_NORM 
  0.0       0.0656       0.0656           1           0         66 ALLOC_SPACE 
  0.0       0.0127       0.0127           1           0         13 MPI_Reduce() 
  0.0       0.0025       0.0025           1           0          2 SET_CONSTANTS 
  0.0     0.000639     0.000639           1           0          1 MAKE_SET 
  0.0       0.0005       0.0005           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0     0.000306     0.000306           1           0          0 MPI_Comm_size() 
  0.0     0.000194     0.000194           1           0          0 MPI_Comm_rank() 
  0.0     2.78E-05     2.78E-05   0.0277778           0          1 SET_CLASS 
