Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.021       36,345           4           4    9086493 .TAU application
100.0            2       36,345           4        1677    9086488 MPSP 
 74.3       26,998       26,998           4           0    6749544 MPI_Finalize() 
 18.5            3        6,735        1604        9624       4199 ADI 
  6.6        0.108        2,395           4          20     598891 SETUP_MPI 
  6.6        2,394        2,394           4           0     598574 MPI_Init() 
  5.6          146        2,036        1608       22512       1266 COPY_FACES 
  4.7        1,720        1,720        1608           0       1070 COMPUTE_RHS 
  4.6          841        1,666        1604       16040       1039 X_SOLVE 
  4.3          588        1,572        1604       16040        980 Z_SOLVE 
  3.4          627        1,228        1604       16040        766 Y_SOLVE 
  1.9          701          701        3208           0        219 LHSZ 
  1.6          576          576       11232           0         51 MPI_Waitall() 
  1.6          576          576        3208           0        180 LHSX 
  1.3          469          469        3208           0        146 LHSY 
  0.4           65          146           8      575424      18347 INITIALIZE 
  0.4          129          129        1604           0         81 ADD 
  0.4          127          127        3208           0         40 TZETAR 
  0.3          107          107      760800           0          0 EXACT_SOLUTION 
  0.3          103          103        1604           0         64 TXINVR 
  0.1           22           42           4      138720      10504 EXACT_RHS 
  0.1           40           40        3208           0         13 PINVR 
  0.1           39           39        3208           0         12 NINVR 
  0.1           37           37       19272           0          2 MPI_Isend() 
  0.0        0.174           16           4          12       4228 VERIFY 
  0.0            5           11           4       46660       2984 ERROR_NORM 
  0.0           11           11       19272           0          1 MPI_Irecv() 
  0.0            4            4           4           0       1158 LHSINIT 
  0.0            2            2          16           0        136 MPI_Bcast() 
  0.0            1            1           8           0        145 MPI_Comm_dup() 
  0.0            1            1           8           0        132 MPI_Barrier() 
  0.0        0.272        0.272           4           0         68 ALLOC_SPACE 
  0.0        0.131        0.131           8           0         16 MPI_Allreduce() 
  0.0        0.091        0.124           4           4         31 RHS_NORM 
  0.0        0.046        0.046           4           0         12 MPI_Reduce() 
  0.0        0.007        0.007           4           0          2 SET_CONSTANTS 
  0.0        0.003        0.003           4           0          1 MPI_Comm_size() 
  0.0        0.002        0.002           4           0          0 COMPUTE_BUFFER_SIZE 
  0.0        0.002        0.002           4           0          0 MAKE_SET 
  0.0        0.001        0.001           4           0          0 MPI_Comm_rank() 
  0.0        0.001        0.001           1           0          1 SET_CLASS 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      0.00525        9,086           1           1    9086493 .TAU application
100.0        0.599        9,086           1      419.25    9086488 MPSP 
 74.3        6,749        6,749           1           0    6749544 MPI_Finalize() 
 18.5        0.895        1,683         401        2406       4199 ADI 
  6.6        0.027          598           1           5     598891 SETUP_MPI 
  6.6          598          598           1           0     598574 MPI_Init() 
  5.6           36          509         402        5628       1266 COPY_FACES 
  4.7          430          430         402           0       1070 COMPUTE_RHS 
  4.6          210          416         401        4010       1039 X_SOLVE 
  4.3          147          393         401        4010        980 Z_SOLVE 
  3.4          156          307         401        4010        766 Y_SOLVE 
  1.9          175          175         802           0        219 LHSZ 
  1.6          144          144        2808           0         51 MPI_Waitall() 
  1.6          144          144         802           0        180 LHSX 
  1.3          117          117         802           0        146 LHSY 
  0.4           16           36           2      143856      18347 INITIALIZE 
  0.4           32           32         401           0         81 ADD 
  0.4           31           31         802           0         40 TZETAR 
  0.3           26           26      190200           0          0 EXACT_SOLUTION 
  0.3           25           25         401           0         64 TXINVR 
  0.1            5           10           1       34680      10504 EXACT_RHS 
  0.1           10           10         802           0         13 PINVR 
  0.1            9            9         802           0         12 NINVR 
  0.1            9            9        4818           0          2 MPI_Isend() 
  0.0       0.0435            4           1           3       4228 VERIFY 
  0.0            1            2           1       11665       2984 ERROR_NORM 
  0.0            2            2        4818           0          1 MPI_Irecv() 
  0.0            1            1           1           0       1158 LHSINIT 
  0.0        0.544        0.544           4           0        136 MPI_Bcast() 
  0.0        0.289        0.289           2           0        145 MPI_Comm_dup() 
  0.0        0.264        0.264           2           0        132 MPI_Barrier() 
  0.0        0.068        0.068           1           0         68 ALLOC_SPACE 
  0.0       0.0328       0.0328           2           0         16 MPI_Allreduce() 
  0.0       0.0227        0.031           1           1         31 RHS_NORM 
  0.0       0.0115       0.0115           1           0         12 MPI_Reduce() 
  0.0      0.00175      0.00175           1           0          2 SET_CONSTANTS 
  0.0      0.00075      0.00075           1           0          1 MPI_Comm_size() 
  0.0       0.0005       0.0005           1           0          0 COMPUTE_BUFFER_SIZE 
  0.0       0.0005       0.0005           1           0          0 MAKE_SET 
  0.0      0.00025      0.00025           1           0          0 MPI_Comm_rank() 
  0.0      0.00025      0.00025        0.25           0          1 SET_CLASS 
